Timestamp, Angle x, Angle y, Angle z, Marker
40,-1.57278,-0.0266914,0.136875,0
60,-1.56853,-0.00509711,0.0783883,0
80,-1.5803,0.00898487,0.0197248,0
100,-1.60079,0.0198211,-0.0370764,0
120,-1.61073,0.027844,-0.0899489,0
120,-1.60889,0.0322252,-0.139135,0
170,-1.59854,0.0364839,-0.188746,0
170,-1.58832,0.0390921,-0.24146,0
190,-1.58273,0.0369633,-0.296382,0
210,-1.57993,0.0363366,-0.350824,0
230,-1.5677,0.0406021,-0.398847,0
250,-1.54526,0.0483215,-0.442614,0
270,-1.52161,0.0564613,-0.484679,0
290,-1.50379,0.0643433,-0.525502,0
310,-1.49396,0.0704109,-0.560921,0
330,-1.48194,0.0779055,-0.590365,0
350,-1.46753,0.0862919,-0.613227,0
370,-1.45663,0.100042,-0.633738,0
390,-1.44638,0.121565,-0.65326,0
410,-1.44937,0.148957,-0.67346,0
430,-1.44043,0.178306,-0.677537,0
450,-1.45336,0.168723,-0.67638,0
470,-1.47825,0.159755,-0.668881,0
490,-1.47379,0.155471,-0.662731,0
510,-1.46283,0.149295,-0.66645,0
530,-1.45289,0.154216,-0.672196,0
550,-1.45007,0.161469,-0.676936,0
570,-1.45193,0.166904,-0.680299,0
590,-1.45641,0.172128,-0.681816,0
610,-1.46136,0.175841,-0.683539,0
630,-1.46894,0.180104,-0.68565,0
650,-1.4781,0.185592,-0.687713,0
670,-1.48593,0.190609,-0.689021,0
690,-1.49198,0.193256,-0.690041,0
710,-1.49561,0.194113,-0.690444,0
730,-1.49586,0.196082,-0.689809,0
750,-1.49606,0.200408,-0.688249,0
770,-1.49983,0.205721,-0.687568,0
790,-1.50471,0.209705,-0.68803,0
810,-1.51084,0.213794,-0.68846,0
830,-1.51547,0.217304,-0.687918,0
850,-1.51968,0.220096,-0.687185,0
870,-1.52296,0.222751,-0.686819,0
890,-1.52533,0.225693,-0.686843,0
910,-1.52871,0.228169,-0.686882,0
930,-1.53273,0.230564,-0.686802,0
950,-1.53638,0.232798,-0.686899,0
970,-1.53925,0.235451,-0.687097,0
990,-1.54307,0.238607,-0.68734,0
1010,-1.54848,0.241679,-0.687697,0
1030,-1.55336,0.243906,-0.687706,0
1050,-1.5543,0.243353,-0.687606,0
1070,-1.54624,0.224619,-0.685079,0
1090,-1.54653,0.226454,-0.685073,0
1110,-1.52839,0.216066,-0.681005,0
1130,-1.52722,0.209889,-0.680138,0
1150,-1.54479,0.217674,-0.683262,0
1170,-1.56041,0.231716,-0.686797,0
1190,-1.55471,0.235968,-0.686299,0
1210,-1.54789,0.232338,-0.68373,0
1230,-1.55011,0.230251,-0.685301,0
1250,-1.55355,0.23274,-0.68541,0
1270,-1.55676,0.235908,-0.685419,0
1290,-1.5592,0.238006,-0.685235,0
1310,-1.56164,0.240221,-0.685221,0
1330,-1.56133,0.240802,-0.685967,0
1350,-1.56229,0.251306,-0.685567,0
1370,-1.57369,0.261744,-0.687864,0
1380,-1.57852,0.262796,-0.689948,0
1400,-1.57921,0.264493,-0.691614,0
1420,-1.57836,0.26599,-0.692031,0
1440,-1.57844,0.266077,-0.692145,0
1460,-1.57966,0.267237,-0.692468,0
1480,-1.58131,0.268787,-0.693232,0
1500,-1.58222,0.269785,-0.693784,0
1520,-1.58151,0.270404,-0.693902,0
1540,-1.58049,0.271144,-0.693985,0
1560,-1.58057,0.271311,-0.694009,0
1580,-1.58057,0.271391,-0.693918,0
1600,-1.5797,0.271438,-0.694261,0
1620,-1.57664,0.271408,-0.693472,0
1640,-1.56701,0.269471,-0.692254,0
1660,-1.54253,0.261705,-0.690398,0
1680,-1.50639,0.247369,-0.689085,0
