Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
10,1.43262,0.785645,-1.07812,0
50,1.32227,0.794922,-0.873535,0
70,1.47021,0.508301,-0.603027,0
90,0.990723,0.442383,-0.820801,0
90,0.633789,0.537109,-0.777832,0
110,0.434082,0.37207,-0.726562,0
120,0.441895,0.0932617,-0.544922,0
140,0.461426,0.0541992,-0.588379,0
160,0.440918,-0.0493164,-0.588379,0
180,0.470215,-0.161621,-0.630371,0
220,0.532227,-0.161621,-0.674316,0
240,0.515137,-0.187012,-0.641602,0
240,0.742676,-0.162598,-0.484863,0
260,0.76416,-0.0981445,-0.450684,0
260,0.756836,0.000976562,-0.341309,0
270,1.00439,0.00732422,-0.484863,0
300,1.1626,0.0126953,-0.254883,0
350,0.638672,-0.18457,0.283691,0
370,1.15039,-0.137695,0.37207,0
390,0.962402,-0.130859,0.0683594,0
410,1.25732,-0.266602,0.0869141,0
430,1.27246,-0.234375,0.229004,0
450,1.35449,-0.207031,0.0708008,0
470,1.43555,-0.355469,0.17627,0
490,1.44482,-0.549316,0.141602,0
510,1.50293,-0.758789,0.241211,0
530,1.3291,-0.588867,0.242676,0
540,1.03613,-0.0195312,0.311035,0
560,1.11816,0.203125,0.262695,0
580,1.1709,-0.0498047,0.197266,0
600,1.17578,-0.581543,0.365234,0
620,0.549805,-0.770508,0.30957,0
640,0.847168,-0.727051,0.272949,0
660,0.793945,-0.560059,0.170898,0
680,1.00244,-0.504395,0.0532227,0
700,1.1001,-0.17334,0.0795898,0
720,1.23145,0.015625,0.106445,0
740,1.03516,-0.0615234,-0.0527344,0
760,0.955566,-0.0483398,-0.202148,0
780,1.00439,0.10791,-0.26416,0
800,0.963867,0.0888672,-0.191895,0
820,0.890625,-0.00390625,-0.0795898,0
840,0.766113,0.0224609,-0.0952148,0
860,0.755859,0.155762,-0.0795898,0
880,0.856445,0.512695,-0.0551758,0
900,0.76709,0.328613,-0.23584,0
920,0.846191,0.863281,-0.274414,0
940,0.84375,0.798828,-0.235352,0
960,0.604004,0.616211,-0.466309,0
980,0.438965,0.44873,-0.631348,0
1000,0.560059,0.203125,-0.537109,0
1020,0.67041,0.0195312,-0.364746,0
1040,0.589355,-0.0854492,-0.387207,0
1060,0.667969,-0.223633,-0.442871,0
1080,0.900879,-0.231445,-0.449707,0
1100,1.04004,-0.113281,-0.466309,0
1120,1.13281,0.015625,-0.51416,0
1140,1.1709,0.0410156,-0.479004,0
1160,1.20361,-0.0078125,-0.465332,0
1180,1.14648,-0.0224609,-0.478027,0
1200,1.07471,0.03125,-0.516113,0
1220,1.07129,0.046875,-0.529785,0
1240,1.10938,0.0449219,-0.52832,0
1260,1.0874,0.0341797,-0.579102,0
1280,1.05469,0.0957031,-0.615234,0
1300,1.0293,0.0664062,-0.664551,0
1320,0.979004,0.109863,-0.70752,0
1340,0.89502,0.171387,-0.658203,0
1360,0.81543,0.126465,-0.543945,0
1380,0.804199,0.123047,-0.509766,0
1400,0.742676,0.0727539,-0.525391,0
1420,0.672363,0.0898438,-0.427734,0
1440,0.679199,0.267578,-0.382324,0
1460,0.715332,0.443848,-0.530273,0
1480,0.720215,0.518555,-0.654785,0
1500,0.757812,0.414062,-0.685059,0
1520,0.825684,0.283691,-0.63623,0
1540,0.838867,0.314941,-0.652832,0
1560,0.804199,0.504883,-0.668945,0
1580,0.753906,0.682129,-0.649414,0
1600,0.650879,0.706543,-0.637695,0
1620,0.532715,0.605469,-0.652344,0
