C1,C2,C3,C4,C5,C6,C7,C8,Marker
5,-3,6,0,1,1,4,-2,NAN
-8,-3,-7,-3,2,0,2,-2,NAN
4,7,7,-1,-4,2,8,3,NAN
10,-4,-12,0,-2,-6,-6,-5,NAN
-7,-19,-19,-2,-1,0,-1,0,NAN
2,5,11,1,0,-1,5,1,NAN
-1,-2,3,4,-2,1,-5,-3,NAN
54,29,-7,-12,-1,-1,2,4,NAN
-9,-11,3,2,1,0,2,0,NAN
-6,-11,-12,-6,-1,-3,-6,-4,NAN
-14,-4,2,-1,-2,0,2,-1,NAN
-16,-11,4,0,0,-3,-2,-4,NAN
12,12,-6,-2,-2,1,-2,0,NAN
-4,3,-1,1,-1,-3,2,0,NAN
4,-3,-5,-1,2,0,-2,-2,NAN
1,-7,-2,-1,-1,-1,1,-2,NAN
0,29,13,1,0,0,2,2,NAN
2,9,16,4,-1,-1,-2,-4,NAN
8,14,-6,-8,-3,-2,-4,-4,NAN
9,-25,-6,2,-1,3,3,3,NAN
-10,-11,-3,-3,0,-2,2,-2,NAN
-15,0,-6,0,-2,-2,-1,-3,NAN
18,10,1,2,-2,-2,-2,-1,NAN
-37,-16,1,-2,-2,1,-1,-3,NAN
32,25,2,-4,-2,0,-1,0,NAN
-21,-15,-9,-2,-3,-1,-3,1,NAN
-2,-7,-6,-3,-2,-1,-2,-2,NAN
25,5,22,5,1,-1,1,0,NAN
-3,28,2,-1,-2,-2,-2,-2,NAN
17,-12,-4,-4,0,0,1,0,NAN
-11,-6,1,-2,-1,-2,-1,-2,NAN
-24,-12,-5,0,-1,-5,-9,-4,NAN
4,30,-16,-5,1,2,1,-3,NAN
6,-14,1,-1,2,1,5,5,NAN
-4,-10,5,3,2,0,1,-2,NAN
-2,7,-14,-4,-1,1,2,0,NAN
-6,-14,15,0,-3,-4,-3,0,NAN
6,0,-10,-2,-2,-2,-2,1,NAN
4,4,-3,-3,-1,0,-2,-1,NAN
-20,-10,-1,2,0,-2,-2,-4,NAN
8,-26,-17,-3,-1,-1,-4,-2,NAN
-9,15,4,0,-3,-2,-3,-4,NAN
21,5,7,2,-1,0,2,4,NAN
-14,7,-12,-1,0,-2,-2,-2,NAN
4,-8,2,-2,-1,0,1,4,NAN
15,13,9,1,1,1,-4,-2,NAN
-16,3,-5,-3,-1,-1,6,-10,NAN
1,-3,2,0,-4,-7,-4,5,NAN
-3,-9,-3,-2,-2,-4,-8,-10,NAN
-11,0,18,0,-1,-3,-6,1,NAN
5,-3,-7,-2,2,7,19,17,NAN
-2,-9,0,-2,-2,-2,-13,-28,NAN
