C1,C2,C3,C4,C5,C6,C7,C8,Marker
2,3,0,-2,1,1,-4,-1,NAN
-1,2,-1,1,1,0,-1,-1,NAN
0,0,2,1,-2,-3,-7,1,NAN
-2,-1,-3,-3,-1,1,3,-1,NAN
0,0,0,-1,0,-4,4,2,NAN
0,-2,-1,-1,-1,8,2,-2,NAN
-1,-2,-5,-7,-4,-7,-1,-2,NAN
1,1,2,3,0,-1,-5,-2,NAN
-4,-4,-3,-4,-5,-1,1,1,NAN
-1,-1,-1,-2,1,0,-1,3,NAN
-2,-2,-1,3,-3,4,4,-3,NAN
0,-2,0,-1,-3,-10,-2,-1,NAN
2,2,1,3,1,5,2,2,NAN
-4,-1,1,-2,-1,-7,2,0,NAN
-2,1,1,-3,1,11,7,2,NAN
-6,-4,-8,-9,0,-3,4,0,NAN
3,-4,-2,-4,-11,-13,-14,-6,NAN
1,-1,-1,1,2,6,6,1,NAN
5,1,2,6,1,-1,-6,0,NAN
-2,0,2,-1,0,2,2,-3,NAN
-2,-2,-4,-4,1,-9,0,-1,NAN
0,-3,-2,-1,-2,0,-7,-3,NAN
-3,0,0,0,0,-3,4,-2,NAN
3,0,0,0,0,3,-3,-1,NAN
-3,1,-3,-3,0,3,-1,-1,NAN
-2,-2,-6,-7,-3,-7,9,-1,NAN
2,-3,-1,-1,-3,0,-7,-2,NAN
-4,-1,-2,-1,2,0,-5,-1,NAN
1,-1,2,2,-2,-1,3,-1,NAN
-1,0,-1,-2,-2,0,1,1,NAN
-1,-2,-1,1,2,-2,2,-2,NAN
1,0,0,-3,1,-10,-2,-1,NAN
-1,-1,-3,-1,-5,-2,-4,-3,NAN
-1,-3,-1,-1,0,-2,-9,-2,NAN
0,2,2,-3,-3,-4,4,0,NAN
-1,-2,-4,-6,-5,5,10,0,NAN
-9,-5,-4,-4,0,-5,-1,-2,NAN
7,5,4,1,2,-1,1,0,NAN
-1,-4,-2,3,-1,-2,-3,-1,NAN
0,-1,-1,3,-2,1,-5,-3,NAN
-1,-2,0,-2,2,6,13,0,NAN
2,-1,-2,0,1,-4,-11,0,NAN
-5,5,1,-3,0,-5,-5,-3,NAN
0,-2,-2,0,-4,-2,0,-1,NAN
4,0,0,-3,-3,-5,-4,-2,NAN
-7,-1,1,0,-1,5,0,-1,NAN
-1,0,-2,-1,-2,-5,2,-1,NAN
-1,-2,2,2,-2,-4,-9,-2,NAN
1,-2,-1,-2,-1,-1,2,-2,NAN
-7,-1,0,-3,-1,0,0,0,NAN
9,0,0,-2,1,1,0,1,NAN
-1,-3,-4,-2,-1,5,-1,1,NAN
1,-1,-1,-2,-4,-4,-1,4,NAN
-4,-2,-7,-4,-5,-3,1,-6,NAN
-5,-3,-2,1,-3,1,3,-1,NAN
-3,-2,1,0,-4,-6,8,-2,NAN
2,1,2,3,4,5,-8,-3,NAN
3,4,3,7,3,-7,7,5,NAN
-4,-4,-5,-9,-5,2,-4,0,NAN
0,-3,-8,-11,-1,7,-5,-2,NAN
-6,-1,1,0,-2,1,3,1,NAN
7,2,2,1,-2,4,2,-3,NAN
-1,-3,2,5,0,-4,-2,-2,NAN
1,-2,-3,-3,-2,-2,1,-1,NAN
-3,-3,0,3,-1,-3,1,-5,NAN
