C1,C2,C3,C4,C5,C6,C7,C8,Marker
8,9,2,0,1,-9,-27,-3,NAN
11,4,-1,0,1,7,3,-1,NAN
9,1,1,0,4,-6,-2,-2,NAN
-31,8,3,1,0,-7,5,1,NAN
11,-12,-2,1,6,8,-12,-2,NAN
-1,-6,0,1,-3,-3,0,5,NAN
11,0,1,0,0,-8,13,9,NAN
-21,-21,-6,-7,-17,-19,-31,-16,NAN
27,-5,0,-2,-2,3,12,8,NAN
-8,-6,-3,0,-1,2,11,2,NAN
26,43,7,-3,-10,-6,0,4,NAN
-4,12,-5,-1,3,7,17,-3,NAN
3,-30,-2,0,-2,-4,6,5,NAN
-12,-4,-2,-2,0,9,-10,-3,NAN
-8,-10,-2,-1,-1,-4,8,0,NAN
-6,-4,-1,0,2,8,11,-6,NAN
-16,12,2,0,0,-4,-23,-17,NAN
4,10,-2,-2,0,4,-4,5,NAN
-10,6,1,0,0,-2,6,-6,NAN
7,5,3,2,3,5,-4,9,NAN
19,10,2,1,1,6,-43,20,NAN
-17,-1,1,-1,2,12,26,-8,NAN
30,7,-2,-3,-2,-3,12,25,NAN
11,43,1,2,3,-6,-80,-10,NAN
-40,-47,-5,0,-4,-16,-1,2,NAN
2,0,3,0,1,5,28,10,NAN
4,3,1,0,0,7,51,34,NAN
-22,0,-4,0,0,5,-9,-2,NAN
3,-9,-3,-3,2,14,-18,11,NAN
36,3,1,-4,-5,-10,14,11,NAN
-49,1,0,0,2,0,-28,-2,NAN
-5,-15,4,1,1,5,29,-7,NAN
13,14,-5,0,-3,-8,21,-14,NAN
5,-12,-3,-1,1,-15,-37,-7,NAN
-21,10,1,-1,0,-4,11,-58,NAN
3,-5,-3,-2,-3,-7,-28,-1,NAN
-6,-23,-9,0,0,-4,-3,14,NAN
8,-17,0,5,7,9,18,-39,NAN
12,4,0,-2,-4,4,9,3,NAN
1,5,1,3,1,-3,-17,-20,NAN
-25,-38,1,2,3,-1,36,-24,NAN
-2,-1,-4,-4,-8,-7,-19,16,NAN
-18,-21,-3,1,2,13,43,38,NAN
13,10,-2,0,1,3,6,0,NAN
55,-42,-8,0,-2,-4,-3,41,NAN
-45,-3,-3,0,0,-4,-19,70,NAN
31,18,8,0,3,-7,16,-43,NAN
-6,6,1,-1,-1,4,-20,17,NAN
17,25,-5,1,1,-4,-15,-5,NAN
-4,29,-1,-1,3,15,37,-17,NAN
13,13,5,0,-2,0,-17,12,NAN
27,-17,-5,-1,-2,-5,-5,-15,NAN
-35,29,6,1,0,6,4,-12,NAN
36,4,4,1,2,-1,5,-4,NAN
2,-48,-5,-2,1,1,10,34,NAN
-3,2,1,0,0,5,-8,14,NAN
-18,5,-3,-3,-1,1,-9,-18,NAN
-4,3,7,0,-1,-7,-3,-5,NAN
-13,-5,5,1,1,-2,-31,-12,NAN
0,-7,-4,2,6,18,67,-8,NAN
-55,-4,-5,-4,-2,2,3,9,NAN
2,3,-8,-1,-3,-10,-24,3,NAN
-27,-9,-2,3,4,3,5,28,NAN
35,25,-8,-4,-3,-8,-18,-7,NAN
39,20,-10,-1,2,7,15,-66,NAN
-28,-37,-9,0,1,-1,-6,1,NAN
-6,16,0,-2,-2,-3,2,5,NAN
-13,-19,0,-2,-3,-5,-15,-11,NAN
13,4,-2,-1,-1,6,20,-4,NAN
-41,4,3,1,0,-3,-15,19,NAN
61,8,-5,0,-4,-5,-10,2,NAN
11,6,8,3,3,6,20,65,NAN
-28,4,3,-2,-4,-4,-8,-6,NAN
-4,4,7,3,0,-3,-4,33,NAN
17,-2,-1,-3,-3,-10,5,-7,NAN
-6,-5,-3,-4,1,-2,-17,11,NAN
8,32,-1,-2,-3,1,3,-2,NAN
29,2,-3,7,6,7,12,31,NAN
-16,5,1,-1,-4,-4,-14,-3,NAN
25,-11,-9,-6,-7,-1,-5,6,NAN
17,-12,-7,-1,3,2,-2,-1,NAN
17,-12,3,-1,3,5,6,-13,NAN
-20,2,3,-1,-1,1,8,-3,NAN
-39,-8,0,-2,-2,-2,-1,-30,NAN
-8,-5,-1,0,2,-2,-7,0,NAN
-15,-5,2,0,1,4,-5,-12,NAN
2,-13,-11,-4,-3,1,-5,-17,NAN
9,5,-6,-3,-2,-5,-3,7,NAN
-1,12,8,0,-2,9,-4,1,NAN
-16,8,-4,-2,-3,-13,-5,-5,NAN
-27,-3,0,-1,-1,9,1,14,NAN
55,-21,-24,-1,-2,-2,-2,0,NAN
6,-4,18,-2,-2,-3,-4,1,NAN
-30,1,10,-1,-3,-5,3,-3,NAN
-30,-6,-13,-4,-8,-12,-23,-8,NAN
29,-9,-6,-2,-1,15,66,6,NAN
-61,-4,-11,-1,1,-19,9,-14,NAN
86,-4,3,1,-4,-8,-25,7,NAN
-44,-12,-7,2,3,14,8,-15,NAN
-1,-4,-10,-1,-2,-3,-14,1,NAN
9,12,3,0,-1,4,3,-6,NAN
-37,-2,-1,1,-3,-10,-14,-10,NAN
-30,-11,-10,0,-1,0,5,-4,NAN
13,1,13,-3,-1,-6,-13,8,NAN
-10,0,7,-1,-1,-1,-9,-2,NAN
-20,-7,-11,0,2,-2,-8,-8,NAN
-34,-4,2,-1,-1,11,-9,-6,NAN
73,-1,-8,0,0,-1,-4,-3,NAN
-12,-2,1,-1,-1,-3,-1,-4,NAN
-29,-2,-3,0,-2,-5,-3,-9,NAN
0,-4,18,3,1,1,4,5,NAN
-16,0,-6,-2,-1,-4,-2,-16,NAN
-8,1,-6,-4,0,-3,-1,-14,NAN
-6,-3,4,-1,0,2,1,-2,NAN
12,-1,-1,0,-1,2,1,-4,NAN
-14,3,2,1,0,2,2,9,NAN
0,-10,-3,-1,-2,-5,-2,-5,NAN
8,5,-4,0,0,1,-1,-1,NAN
4,0,-3,0,-1,-2,-2,-3,NAN
-17,3,8,-2,-1,-3,-1,2,NAN
-6,8,0,-2,1,1,2,4,NAN
4,3,3,-1,0,1,0,-1,NAN
3,6,-1,-1,-1,-1,-2,0,NAN
4,4,3,-1,-2,0,0,2,NAN
38,1,-2,-1,-1,-1,-4,5,NAN
39,10,8,1,1,0,1,16,NAN
-14,-3,-15,-3,0,-1,-1,-1,NAN
-1,-1,7,0,-2,-3,0,-7,NAN
-2,2,1,-1,1,1,1,9,NAN
-22,-2,-8,-2,0,-1,3,5,NAN
-16,-3,1,-1,-1,-2,0,-4,NAN
16,2,2,0,-1,0,2,-7,NAN
-19,4,1,0,-2,1,0,-6,NAN
13,1,-8,0,0,0,1,2,NAN
11,1,-4,1,-2,-1,-1,-1,NAN
0,1,9,1,-2,-2,0,1,NAN
-10,6,8,-1,1,0,-1,-3,NAN
10,5,-8,-1,1,-2,-2,-1,NAN
6,-3,-4,-1,-1,0,2,6,NAN
-4,1,3,0,-1,0,-1,0,NAN
10,12,-1,0,-1,-3,-4,-4,NAN
-18,-16,-2,-1,-1,-1,0,-4,NAN
-17,-15,1,-2,-2,-4,-2,-5,NAN
6,6,-4,-1,1,0,2,-5,NAN
-3,1,-2,-1,-1,-1,-4,-9,NAN
-17,-1,-8,-1,0,0,-3,-8,NAN
49,-6,1,0,-2,0,3,5,NAN
-5,3,-1,-1,-1,-1,1,16,NAN
-26,-15,-22,0,0,1,-3,-8,NAN
0,-1,23,-1,-1,1,-4,-10,NAN
11,3,-1,-3,1,2,3,9,NAN
-8,-2,-2,0,-2,-2,-3,-5,NAN
-16,-2,5,1,-3,-3,-3,-9,NAN
2,-15,-4,-1,-1,-2,0,-3,NAN
-5,-3,4,0,0,2,3,-1,NAN
-4,-2,-3,0,0,-2,-1,-3,NAN
9,-1,-3,-1,-2,-2,-1,-4,NAN
-31,-7,-6,-2,-1,0,-2,0,NAN
21,-2,6,-1,1,-1,-4,3,NAN
-8,1,-9,-2,-1,1,0,0,NAN
-26,-2,1,-2,-3,-1,-3,-4,NAN
23,4,-3,-2,-1,0,-2,-2,NAN
5,-3,1,-2,-1,-1,0,9,NAN
-3,-1,-2,1,2,0,1,1,NAN
-3,7,0,-3,-1,-3,-1,-4,NAN
-8,-2,-4,0,0,-1,-3,1,NAN
-23,1,1,-1,3,1,2,3,NAN
53,5,1,0,-1,1,2,7,NAN
-9,-2,-9,1,-2,-2,-2,-1,NAN
0,5,17,1,0,0,3,-3,NAN
6,1,10,-1,1,1,-3,-1,NAN
-23,-2,-5,-2,0,-4,0,-1,NAN
-3,2,4,0,1,0,2,1,NAN
-15,0,-1,-3,-1,-4,-3,-8,NAN
9,-3,2,2,0,0,3,14,NAN
-19,-2,0,-1,-1,1,0,-7,NAN
-10,-2,-2,-2,-1,-2,-2,-8,NAN
-11,-6,-8,-3,0,0,-2,3,NAN
-11,0,-3,-3,-2,1,3,-6,NAN
-7,-1,2,-1,-1,-1,-1,3,NAN
21,6,2,-1,0,0,-4,-10,NAN
-7,-5,0,-2,-2,-1,-1,1,NAN
20,16,6,0,-2,-1,-2,-7,NAN
41,2,-3,-1,-1,0,-2,3,NAN
-8,-8,-7,-1,0,-2,-4,-4,NAN
6,1,6,0,0,-4,0,-8,NAN
-2,-1,3,0,0,-2,-3,6,NAN
24,-2,-3,1,-1,0,0,-3,NAN
-34,-5,-5,-2,1,3,0,-12,NAN
6,-6,5,-2,-3,-8,-4,-8,NAN
-7,4,2,-2,-2,0,1,17,NAN
27,3,3,0,0,1,1,6,NAN
7,-2,-3,0,-2,-2,-2,-6,NAN
-39,-2,-5,-2,-1,-1,-2,-16,NAN
18,-9,4,0,-2,-2,1,14,NAN
-28,13,6,0,3,2,1,3,NAN
1,3,1,1,-1,-5,1,30,NAN
6,0,-1,0,-1,3,5,6,NAN
83,4,-1,-1,1,1,1,-4,NAN
1,3,3,1,1,-3,-1,27,NAN
13,2,-6,0,1,1,3,-7,NAN
4,3,8,0,1,0,0,4,NAN
-10,-5,-5,-2,0,2,-2,-4,NAN
-28,-6,-1,-1,-2,-4,-3,-13,NAN
-4,-4,1,1,-2,-1,0,1,NAN
0,-4,-1,-1,0,3,0,-6,NAN
-15,3,3,-2,0,3,3,-1,NAN
12,-9,-1,-2,0,-3,-3,-5,NAN
-9,0,0,1,-1,-4,-2,-7,NAN
2,2,-4,-1,-3,0,0,-1,NAN
-6,0,0,-3,2,-2,-2,-2,NAN
6,-1,-1,-1,0,2,3,1,NAN
-25,0,3,1,0,-3,-1,-6,NAN
26,2,-4,-3,-2,-1,-3,-5,NAN
-8,-6,-7,-3,-2,-3,-2,-5,NAN
22,0,2,0,0,1,2,8,NAN
11,1,-17,-2,1,1,1,11,NAN
-14,-1,16,-1,0,0,1,-6,NAN
-14,-5,-10,-2,-4,1,-3,-14,NAN
10,-2,3,-1,0,-3,0,2,NAN
