Timestamp, Angle x, Angle y, Angle z, Marker
40,-0.876846,0.487181,1.69471,0
60,-0.88469,0.482788,1.707,0
80,-0.886052,0.478212,1.71634,0
100,-0.883394,0.474447,1.72241,0
120,-0.878308,0.471087,1.7243,0
140,-0.870973,0.466697,1.72168,0
150,-0.859693,0.461315,1.71653,0
160,-0.843906,0.456223,1.70974,0
200,-0.824874,0.451436,1.70098,0
220,-0.80586,0.446476,1.69011,0
240,-0.788528,0.441262,1.67923,0
260,-0.773839,0.436136,1.66959,0
280,-0.763217,0.431301,1.66137,0
300,-0.756925,0.427266,1.65509,0
320,-0.753802,0.423636,1.65084,0
340,-0.75269,0.421168,1.64839,0
360,-0.752282,0.419738,1.64749,0
380,-0.75288,0.419729,1.64804,0
400,-0.753899,0.420441,1.64925,0
420,-0.755599,0.421021,1.65086,0
440,-0.757493,0.421728,1.65294,0
460,-0.759332,0.422498,1.65498,0
480,-0.760661,0.423391,1.65648,0
500,-0.760936,0.424268,1.6579,0
520,-0.760061,0.424869,1.65891,0
540,-0.758959,0.425105,1.6599,0
560,-0.757935,0.424974,1.66057,0
580,-0.757769,0.424671,1.66125,0
600,-0.758797,0.424264,1.66179,0
620,-0.760194,0.423509,1.66227,0
640,-0.76217,0.422775,1.66244,0
660,-0.764315,0.422188,1.66219,0
680,-0.765919,0.421785,1.66158,0
700,-0.767183,0.421625,1.66059,0
720,-0.768424,0.421757,1.65912,0
740,-0.769234,0.422051,1.65751,0
760,-0.769487,0.422411,1.65575,0
780,-0.769517,0.423115,1.6545,0
800,-0.769688,0.423636,1.65314,0
820,-0.770026,0.424079,1.65204,0
840,-0.771035,0.424498,1.6509,0
860,-0.772154,0.424739,1.65024,0
880,-0.773811,0.424615,1.64938,0
900,-0.776419,0.424588,1.64829,0
920,-0.778824,0.425022,1.64748,0
940,-0.781248,0.425631,1.64753,0
960,-0.783915,0.426442,1.64847,0
980,-0.786976,0.427304,1.64954,0
1000,-0.790514,0.428144,1.65048,0
1020,-0.794475,0.429118,1.6511,0
1040,-0.798736,0.43009,1.65115,0
1060,-0.80279,0.431557,1.64994,0
1080,-0.806912,0.433607,1.64793,0
1100,-0.809999,0.435651,1.64546,0
1120,-0.811965,0.437377,1.64315,0
1140,-0.81315,0.439672,1.64032,0
1150,-0.814059,0.442279,1.63752,0
1170,-0.814625,0.44477,1.63469,0
1190,-0.815278,0.4466,1.63205,0
1210,-0.815543,0.44814,1.63,0
1230,-0.815271,0.449426,1.62835,0
1250,-0.814176,0.4503,1.62764,0
1270,-0.812874,0.450641,1.62747,0
1290,-0.811938,0.450532,1.6277,0
1310,-0.811689,0.450489,1.62832,0
1330,-0.81191,0.450263,1.62908,0
1350,-0.812469,0.449757,1.62999,0
1370,-0.812708,0.449306,1.63082,0
1390,-0.812768,0.449155,1.63132,0
1410,-0.812371,0.449242,1.63187,0
1430,-0.812577,0.449624,1.63249,0
1450,-0.812518,0.449813,1.63312,0
1470,-0.812254,0.449996,1.63367,0
1490,-0.810865,0.450407,1.63434,0
1510,-0.808586,0.450589,1.63571,0
1530,-0.806325,0.450544,1.63716,0
1550,-0.804475,0.450217,1.63897,0
1570,-0.802982,0.449574,1.64098,0
1590,-0.80186,0.448761,1.64351,0
1610,-0.801346,0.44749,1.64563,0
1630,-0.801567,0.446238,1.64729,0
1650,-0.801984,0.445181,1.64872,0
1670,-0.802271,0.444561,1.64983,0
1690,-0.801831,0.44392,1.65139,0
1710,-0.800761,0.443625,1.65299,0
1730,-0.799623,0.443853,1.65463,0
1750,-0.798412,0.444744,1.65639,0
1770,-0.798395,0.446045,1.65835,0
1790,-0.799164,0.447317,1.6599,0
1810,-0.800089,0.448615,1.66125,0
1830,-0.800859,0.449756,1.66212,0
1850,-0.801242,0.450907,1.66245,0
1870,-0.800746,0.451935,1.66234,0
1890,-0.800111,0.452961,1.66178,0
1910,-0.799833,0.454111,1.66124,0
1930,-0.800175,0.455052,1.66046,0
1950,-0.801311,0.455772,1.65927,0
1970,-0.802477,0.456226,1.65792,0
1990,-0.80352,0.456199,1.65662,0
2010,-0.803751,0.455712,1.65542,0
2030,-0.803518,0.455117,1.65457,0
2050,-0.80326,0.454597,1.65392,0
2070,-0.803129,0.454499,1.65392,0
2090,-0.803877,0.453854,1.654,0
2110,-0.804737,0.45329,1.65413,0
2130,-0.805744,0.45269,1.65448,0
2150,-0.805897,0.452031,1.65489,0
2170,-0.805898,0.451499,1.65521,0
2190,-0.8059,0.450968,1.65554,0
2210,-0.805548,0.450466,1.65557,0
2230,-0.804823,0.449686,1.65554,0
2250,-0.803882,0.448653,1.65525,0
2270,-0.802649,0.447406,1.65474,0
2290,-0.801386,0.44614,1.65399,0
2310,-0.799905,0.444814,1.65296,0
2330,-0.798405,0.443848,1.65253,0
2350,-0.797188,0.442852,1.65218,0
2370,-0.796619,0.442139,1.6522,0
2390,-0.797222,0.441715,1.65264,0
2410,-0.798133,0.441659,1.65333,0
2430,-0.799111,0.441795,1.65423,0
2450,-0.799777,0.441602,1.65512,0
2470,-0.799513,0.44148,1.65621,0
2490,-0.7991,0.441295,1.65726,0
