Timestamp, Angle x, Angle y, Angle z, Marker
50,1.49637,-1.13962,-0.878833,0
70,1.49796,-1.14028,-0.881344,0
90,1.49846,-1.14078,-0.882169,0
110,1.4988,-1.14109,-0.882405,0
130,1.49768,-1.14077,-0.880724,0
140,1.49541,-1.14015,-0.877772,0
140,1.49236,-1.13936,-0.874001,0
180,1.48832,-1.13819,-0.869324,0
200,1.48416,-1.13702,-0.864249,0
220,1.48056,-1.13556,-0.85934,0
240,1.47776,-1.13428,-0.854926,0
260,1.47531,-1.13286,-0.850894,0
280,1.47264,-1.13152,-0.846668,0
300,1.47103,-1.13026,-0.843671,0
320,1.47029,-1.1292,-0.841365,0
340,1.46968,-1.12833,-0.839275,0
360,1.47001,-1.12776,-0.837979,0
380,1.47035,-1.12693,-0.836806,0
400,1.47125,-1.12668,-0.836364,0
420,1.4726,-1.12654,-0.836566,0
440,1.47421,-1.12579,-0.837226,0
460,1.477,-1.1256,-0.838857,0
480,1.48032,-1.12502,-0.841653,0
500,1.48313,-1.12425,-0.844626,0
520,1.48635,-1.1235,-0.8484,0
540,1.4883,-1.12206,-0.851594,0
560,1.48997,-1.12089,-0.854946,0
580,1.49165,-1.11978,-0.85838,0
600,1.49258,-1.11851,-0.861361,0
620,1.49349,-1.11735,-0.864236,0
640,1.49389,-1.11593,-0.866873,0
650,1.49495,-1.11466,-0.870252,0
670,1.49652,-1.11364,-0.873859,0
690,1.49878,-1.11256,-0.877817,0
710,1.50188,-1.11157,-0.882525,0
730,1.50511,-1.11065,-0.887535,0
750,1.50801,-1.10982,-0.892455,0
770,1.51217,-1.10975,-0.898369,0
790,1.51664,-1.10989,-0.904423,0
810,1.52163,-1.11021,-0.91064,0
830,1.52682,-1.11058,-0.916791,0
850,1.53096,-1.11101,-0.922084,0
870,1.53366,-1.11138,-0.926408,0
890,1.53511,-1.11235,-0.929563,0
910,1.53536,-1.11315,-0.931539,0
930,1.53391,-1.11352,-0.932258,0
950,1.5324,-1.11405,-0.93311,0
970,1.53015,-1.1148,-0.933326,0
990,1.52882,-1.11576,-0.933906,0
1010,1.52721,-1.11655,-0.933841,0
1030,1.52566,-1.11719,-0.933466,0
1050,1.52484,-1.11817,-0.933525,0
1070,1.5239,-1.11869,-0.933458,0
1090,1.52389,-1.11922,-0.933945,0
1110,1.52361,-1.11947,-0.933878,0
1130,1.52438,-1.12011,-0.934406,0
1150,1.52494,-1.1203,-0.93425,0
1170,1.52551,-1.12049,-0.934094,0
1190,1.52554,-1.12081,-0.933488,0
1210,1.52536,-1.12122,-0.932686,0
1230,1.52538,-1.12147,-0.931994,0
1250,1.52599,-1.12189,-0.93133,0
1270,1.52592,-1.12218,-0.929898,0
1290,1.52586,-1.12254,-0.928553,0
1310,1.52527,-1.12259,-0.92687,0
1330,1.52466,-1.12301,-0.924986,0
1350,1.52394,-1.12305,-0.923065,0
1370,1.52376,-1.12314,-0.921589,0
1390,1.52305,-1.12298,-0.919862,0
1410,1.52281,-1.12331,-0.918599,0
1430,1.52239,-1.12316,-0.917532,0
1450,1.52284,-1.12308,-0.917251,0
1470,1.52343,-1.12335,-0.917188,0
1490,1.52402,-1.12336,-0.917232,0
1510,1.52495,-1.1234,-0.917617,0
1530,1.52603,-1.12359,-0.918412,0
1550,1.52602,-1.12369,-0.918316,0
1570,1.52636,-1.12372,-0.918658,0
1590,1.52636,-1.12372,-0.918658,0
1610,1.52636,-1.12372,-0.918658,0
1630,1.52636,-1.12372,-0.918658,0
1650,1.52635,-1.12355,-0.918668,0
1670,1.52635,-1.12355,-0.918668,0
1690,1.52778,-1.12368,-0.919902,0
1710,1.52981,-1.12361,-0.921371,0
1730,1.53171,-1.12336,-0.92261,0
1750,1.53362,-1.123,-0.923944,0
1770,1.53574,-1.12257,-0.925472,0
1790,1.53698,-1.12206,-0.92621,0
1810,1.53836,-1.12143,-0.927457,0
1830,1.5396,-1.12082,-0.928284,0
1850,1.54109,-1.12077,-0.929385,0
1870,1.54245,-1.12054,-0.930254,0
1890,1.5438,-1.12025,-0.93104,0
1910,1.54483,-1.11999,-0.931566,0
1930,1.54482,-1.11982,-0.931576,0
1950,1.54516,-1.12012,-0.931816,0
1970,1.54516,-1.12012,-0.931816,0
1990,1.54602,-1.12042,-0.932244,0
2010,1.54687,-1.12093,-0.932489,0
2030,1.54739,-1.12148,-0.932475,0
2050,1.54764,-1.12207,-0.932583,0
2070,1.54803,-1.12285,-0.932924,0
2090,1.54733,-1.12344,-0.932464,0
2110,1.54698,-1.12396,-0.932441,0
2130,1.54662,-1.12457,-0.932325,0
2150,1.54674,-1.12557,-0.93278,0
2170,1.54694,-1.12621,-0.933288,0
2190,1.54658,-1.12673,-0.933265,0
2210,1.54658,-1.12745,-0.933581,0
2230,1.54643,-1.12788,-0.933753,0
2250,1.54671,-1.12808,-0.934235,0
2270,1.54671,-1.12808,-0.934235,0
2290,1.54671,-1.12808,-0.934235,0
2310,1.54671,-1.12808,-0.934235,0
2330,1.54671,-1.12798,-0.934327,0
2350,1.54671,-1.12798,-0.934327,0
2370,1.54721,-1.12816,-0.935085,0
2390,1.54736,-1.12777,-0.935698,0
2410,1.54751,-1.12755,-0.936301,0
2430,1.54768,-1.12703,-0.937179,0
2450,1.54842,-1.12612,-0.939046,0
2470,1.54825,-1.12428,-0.941337,0
2490,1.54672,-1.12155,-0.944088,0
2510,1.54496,-1.11912,-0.947232,0
2530,1.54377,-1.11624,-0.951036,0
2550,1.54337,-1.11339,-0.954984,0
2570,1.54356,-1.11057,-0.958963,0
2590,1.5444,-1.10844,-0.963322,0
2610,1.54508,-1.10692,-0.967417,0
2630,1.54674,-1.10596,-0.972058,0
2650,1.54864,-1.10569,-0.976721,0
2660,1.55139,-1.1057,-0.981798,0
2680,1.55447,-1.10657,-0.986588,0
2700,1.55736,-1.10792,-0.990687,0
2720,1.56046,-1.10995,-0.994285,0
2740,1.56291,-1.11215,-0.996886,0
2760,1.5649,-1.11414,-0.998925,0
2780,1.56653,-1.11608,-1.00097,0
2800,1.56711,-1.11775,-1.0025,0
2820,1.56683,-1.11896,-1.00377,0
2840,1.56605,-1.11994,-1.00461,0
2860,1.56425,-1.12048,-1.00459,0
2880,1.56291,-1.12043,-1.00453,0
2900,1.5613,-1.11983,-1.00382,0
2920,1.55975,-1.11885,-1.00313,0
2940,1.55843,-1.11772,-1.00238,0
2960,1.55747,-1.11633,-1.00225,0
2980,1.55705,-1.11507,-1.00248,0
3000,1.55716,-1.11394,-1.00305,0
3020,1.55818,-1.11271,-1.00408,0
3040,1.55884,-1.11167,-1.00441,0
3060,1.56022,-1.11077,-1.00517,0
3080,1.56093,-1.10974,-1.00516,0
3100,1.56092,-1.10865,-1.00481,0
3120,1.56068,-1.10807,-1.00451,0
3140,1.55991,-1.10721,-1.0037,0
3160,1.56019,-1.10649,-1.00384,0
3180,1.5601,-1.10557,-1.00398,0
3200,1.55931,-1.10456,-1.00394,0
3220,1.55792,-1.10341,-1.00423,0
3240,1.55669,-1.10225,-1.00495,0
3260,1.55584,-1.10077,-1.00603,0
3280,1.55551,-1.09951,-1.00736,0
3300,1.55654,-1.09809,-1.00995,0
3320,1.55743,-1.09646,-1.01248,0
3340,1.55874,-1.09497,-1.01581,0
3360,1.56033,-1.09369,-1.01963,0
3380,1.56219,-1.09268,-1.02401,0
3400,1.56453,-1.09207,-1.02878,0
3420,1.56682,-1.09193,-1.03328,0
3440,1.56981,-1.09209,-1.03802,0
3460,1.57281,-1.09211,-1.0426,0
3480,1.57599,-1.09248,-1.04709,0
3500,1.57851,-1.09317,-1.05076,0
3520,1.58122,-1.09413,-1.05444,0
3540,1.58346,-1.09499,-1.05729,0
3560,1.58506,-1.09598,-1.05932,0
3580,1.58615,-1.09704,-1.06085,0
3600,1.58712,-1.09791,-1.06179,0
3620,1.58781,-1.09859,-1.06188,0
3640,1.58835,-1.09935,-1.06163,0
3660,1.58807,-1.10008,-1.06012,0
3680,1.588,-1.10063,-1.05852,0
3700,1.58691,-1.10105,-1.05581,0
3720,1.58601,-1.10155,-1.05327,0
3740,1.58441,-1.1022,-1.05006,0
3760,1.58266,-1.10268,-1.04642,0
3780,1.58093,-1.10344,-1.04235,0
3800,1.57992,-1.10407,-1.0388,0
3820,1.57875,-1.10478,-1.03491,0
3840,1.57692,-1.10511,-1.03035,0
3860,1.57546,-1.10592,-1.0257,0
3880,1.57382,-1.10639,-1.02098,0
3900,1.57204,-1.10702,-1.01601,0
3920,1.57007,-1.10765,-1.01095,0
3940,1.56825,-1.10847,-1.00613,0
3960,1.56644,-1.1092,-1.00141,0
3980,1.56477,-1.10977,-0.997105,0
4000,1.56268,-1.11056,-0.992854,0
4020,1.56092,-1.1111,-0.989205,0
4040,1.55912,-1.11169,-0.985963,0
4060,1.55799,-1.11241,-0.983483,0
4080,1.55701,-1.11295,-0.981426,0
4100,1.55651,-1.1137,-0.979951,0
4120,1.55582,-1.11406,-0.978737,0
4140,1.55542,-1.11433,-0.978279,0
4160,1.55564,-1.11499,-0.978645,0
4180,1.55655,-1.11577,-0.979781,0
4200,1.55794,-1.11651,-0.981605,0
4220,1.55998,-1.11771,-0.98435,0
4240,1.56233,-1.11867,-0.987707,0
