C1,C2,C3,C4,C5,C6,C7,C8,Marker
1,-2,-5,-8,-3,-4,-3,1,NAN
0,-3,3,-3,-1,-1,1,1,NAN
-1,1,-5,3,-9,0,0,-1,NAN
-2,-3,1,-5,1,0,-2,-2,NAN
1,0,3,3,-1,-1,1,0,NAN
-2,-1,2,-4,-3,0,1,-1,NAN
1,-3,-3,9,2,-2,0,0,NAN
-8,0,-9,-2,-4,-4,-1,-2,NAN
2,-5,-1,-17,2,-1,-1,0,NAN
3,-1,1,15,-2,-1,-3,-2,NAN
1,0,-6,-51,-3,6,-1,-2,NAN
-1,-1,1,10,-6,-13,-2,1,NAN
-4,0,0,8,-2,0,1,-2,NAN
1,-1,-3,-2,4,3,0,-2,NAN
-2,-2,3,3,-1,1,-1,-1,NAN
0,1,5,1,0,-1,-2,-1,NAN
-1,-2,-1,8,-3,-3,0,-2,NAN
-2,-1,-1,-10,-3,0,-3,-2,NAN
-3,-2,-6,5,1,1,-2,-1,NAN
0,0,-3,-4,-1,2,0,1,NAN
-5,-2,-2,5,-3,-2,-3,-4,NAN
4,-1,-1,6,0,0,1,3,NAN
3,0,0,4,0,1,0,2,NAN
5,-1,9,10,1,-4,-1,-2,NAN
-1,-2,-1,1,-1,-3,-2,-2,NAN
-1,-4,4,-4,1,1,-2,2,NAN
-6,0,-8,11,-4,-2,-1,-3,NAN
-5,-2,0,-2,-1,1,-1,0,NAN
2,3,-2,7,-1,-1,1,0,NAN
1,-1,-6,-22,-5,-4,1,0,NAN
-6,-1,1,-2,-3,-2,-2,-3,NAN
-1,0,-5,-9,-6,-2,-2,-3,NAN
2,-2,0,-2,2,-2,-2,1,NAN
-4,-5,-2,-3,-1,0,1,-4,NAN
-3,-2,-4,-2,-5,-2,-1,-2,NAN
0,3,10,-2,1,0,0,0,NAN
-8,-3,1,-3,4,7,1,-3,NAN
-1,-2,2,-5,-7,-11,0,-3,NAN
-3,1,2,6,0,0,1,0,NAN
-5,-5,-4,0,0,2,-3,-1,NAN
-1,1,2,3,-2,-4,-3,-3,NAN
-4,0,-3,-2,-1,1,0,-1,NAN
0,-2,0,-1,-3,-3,0,0,NAN
-3,-2,-3,3,3,4,-1,-2,NAN
-3,-1,4,-6,-3,-4,-3,-3,NAN
1,0,1,11,-4,-4,-2,0,NAN
0,-2,-1,-9,-1,-2,0,0,NAN
-1,2,-2,-4,-1,1,2,1,NAN
-1,-3,0,13,3,-2,0,-3,NAN
0,-2,-9,-10,-3,5,-2,-1,NAN
0,-2,3,8,-2,-11,-4,-3,NAN
-1,-2,-3,2,-2,-1,-2,-1,NAN
-2,-1,0,-4,-1,-2,0,1,NAN
-5,-1,-2,-4,-1,-1,-1,-2,NAN
-2,-1,-2,-2,0,0,0,-2,NAN
0,0,-5,-9,0,-1,0,-1,NAN
0,-3,5,0,-2,0,-3,-1,NAN
-5,-1,0,-1,-1,-3,-5,-1,NAN
1,-1,0,-3,-2,-2,-3,-2,NAN
1,-4,0,3,1,-3,-1,1,NAN
-3,1,-8,-7,-2,0,0,0,NAN
1,-3,-3,0,0,0,1,0,NAN
-2,0,-4,-3,2,-1,-2,-2,NAN
0,1,-1,-3,-5,-7,-3,-3,NAN
0,-1,-4,-4,-3,-1,-2,-2,NAN
2,1,11,7,3,0,-2,-1,NAN
0,-4,0,12,3,1,-1,0,NAN
-1,-2,-4,-28,-12,-3,-3,-1,NAN
1,-4,0,10,2,0,-1,-1,NAN
0,-2,-3,-4,-4,-1,0,0,NAN
-2,5,-7,-6,-2,-2,-3,-3,NAN
0,1,0,-5,4,3,2,2,NAN
1,1,1,2,0,-1,-1,-1,NAN
1,0,4,9,2,-1,-1,1,NAN
-3,-3,3,4,-1,0,-3,-2,NAN
-2,-3,-2,7,2,-1,-2,-3,NAN
0,-2,-2,-3,0,-3,0,0,NAN
0,0,-1,-4,-2,6,1,-1,NAN
-2,1,2,-5,-5,-9,1,0,NAN
-2,2,2,-2,1,-3,-1,-1,NAN
0,0,5,5,2,0,-2,-2,NAN
-5,-3,-10,-5,-2,-1,-2,-1,NAN
4,-4,-3,1,-5,1,1,0,NAN
1,1,0,16,2,2,1,-1,NAN
-2,-4,-6,-20,-7,-5,-1,1,NAN
-3,-1,-9,-7,-2,0,0,-4,NAN
-4,-1,3,1,2,1,1,-4,NAN
1,1,1,15,7,0,-1,-1,NAN
-1,0,2,1,-4,-1,-1,-1,NAN
-1,-1,2,-2,-6,-2,-2,-2,NAN
-1,-4,-4,-1,1,0,-2,1,NAN
-2,0,-1,-11,-4,-3,-2,-3,NAN
-3,-3,-10,-4,-3,-3,-2,-2,NAN
0,0,7,-5,-1,-2,0,-2,NAN
-1,0,3,7,2,0,-1,0,NAN
-3,-2,2,-1,1,3,0,1,NAN
-2,-1,-4,-4,1,-1,0,2,NAN
2,3,-2,5,4,-2,-3,0,NAN
-3,-4,3,-4,-2,-1,-1,1,NAN
-2,-1,-11,-11,-3,-1,-1,-2,NAN
-1,-1,4,4,-1,1,0,-3,NAN
0,-2,-6,-2,0,0,1,-2,NAN
-1,1,-2,-9,-1,-1,-1,-2,NAN
-2,-1,1,-2,-1,4,1,-2,NAN
3,-2,4,4,0,-6,0,1,NAN
-1,-4,-4,-6,-1,-1,-2,0,NAN
-3,2,-2,-8,-3,0,-1,-2,NAN
-6,2,8,6,-1,-2,-2,-3,NAN
3,0,0,2,0,3,-1,-2,NAN
2,-1,-1,-3,0,-1,-3,0,NAN
0,-1,-6,0,-3,-4,-1,0,NAN
-3,-2,-7,-4,0,-2,-1,-2,NAN
-4,-1,3,3,5,0,0,-3,NAN
-2,-5,-4,-8,-4,-3,-1,0,NAN
0,0,-6,6,-7,-1,-1,0,NAN
-3,-2,2,-30,-3,-5,-4,-2,NAN
-1,0,-3,-5,-3,-1,-1,-2,NAN
-2,-2,-2,3,4,0,0,-1,NAN
1,3,4,-3,-1,-1,0,0,NAN
-1,-5,-2,7,-3,-2,0,0,NAN
-3,1,5,-1,-2,-2,-1,-3,NAN
-1,-2,-5,-2,-1,-1,0,-1,NAN
-2,-4,-1,1,1,0,1,0,NAN
3,1,-3,5,-1,-2,0,2,NAN
1,0,-2,-3,-3,-1,0,0,NAN
-4,-1,0,3,-2,1,0,-1,NAN
-9,-3,-3,-4,-1,-1,0,-3,NAN
-2,1,-1,0,-3,-1,-1,-3,NAN
-2,-2,-1,-7,-2,-3,-2,-4,NAN
-2,1,-5,2,1,0,-2,-1,NAN
-4,-4,-10,0,1,1,-1,-1,NAN
2,-2,3,-4,-2,-2,-1,1,NAN
-2,-1,0,0,1,0,0,-2,NAN
-2,-1,0,4,-1,-2,0,-1,NAN
0,0,-1,-2,-2,0,-2,-1,NAN
0,0,-5,-2,-1,0,-1,-1,NAN
2,-2,-4,-1,1,2,-3,-1,NAN
1,-2,-2,3,0,-1,-2,-1,NAN
-2,-1,1,3,-1,-2,1,0,NAN
0,-5,4,2,-8,-4,-2,-2,NAN
1,1,-11,-36,0,-1,0,-2,NAN
-3,-1,3,10,4,0,0,0,NAN
-5,-3,-7,-14,-7,-4,-3,-4,NAN
0,0,-7,8,-5,-2,-2,-1,NAN
3,3,9,0,2,-1,-3,1,NAN
-8,0,-1,-20,-8,-1,-1,0,NAN
6,0,8,9,2,1,-1,0,NAN
3,-3,-7,0,-2,-3,-3,2,NAN
-1,-3,-6,11,1,0,2,0,NAN
-3,0,5,19,4,-1,-1,0,NAN
-6,-1,4,-8,-1,0,-1,-1,NAN
-2,-3,-3,-21,-1,0,0,-3,NAN
1,-1,-5,12,-1,0,-2,0,NAN
-1,-3,-8,-12,-2,-3,-3,-2,NAN
-1,-1,-2,2,-4,-1,0,0,NAN
0,0,-6,2,4,-1,1,-2,NAN
-1,2,10,4,2,-1,-1,-2,NAN
2,0,0,-1,-7,-1,-1,2,NAN
0,1,-1,-8,-4,-2,-1,1,NAN
-3,-1,0,-2,-1,-1,-1,-2,NAN
1,-2,-3,4,-2,-1,0,-1,NAN
-1,-3,-5,-2,2,0,-2,-3,NAN
-3,-2,-4,0,-2,-1,-1,-1,NAN
0,0,5,8,3,1,1,-1,NAN
-8,-5,-2,-1,-3,-1,0,-1,NAN
6,-2,-3,-5,-2,0,-2,0,NAN
1,0,4,2,1,-1,0,-1,NAN
-4,-2,1,-1,-1,2,-2,-1,NAN
1,-1,-1,-4,-1,-1,0,0,NAN
-4,1,-4,-2,-1,-4,0,-2,NAN
