C1,C2,C3,C4,C5,C6,C7,C8,Marker
-4,-2,-2,0,3,1,0,-3,NAN
-1,0,-2,-11,-3,-4,-2,0,NAN
-1,-1,-1,17,1,-1,-2,-2,NAN
0,-3,-1,13,-1,0,-1,-1,NAN
0,-1,5,0,1,0,0,0,NAN
-1,0,-5,13,0,0,0,1,NAN
-1,-3,-1,-4,-2,-1,-4,-2,NAN
0,0,4,-14,-6,-8,-2,-1,NAN
-2,-2,-7,-4,0,0,-2,-1,NAN
1,1,-7,5,3,-1,-1,0,NAN
0,2,13,7,-4,1,-2,0,NAN
-2,-4,4,1,1,4,-1,-2,NAN
-2,-4,-4,-9,2,-2,-1,-3,NAN
-2,-1,1,25,5,4,1,-2,NAN
-1,-2,-6,-14,-5,-6,-2,-1,NAN
0,-1,-6,-16,-13,-3,-1,-1,NAN
-1,2,7,17,3,-1,0,-2,NAN
0,-1,7,3,4,1,-1,-2,NAN
1,1,-7,1,-1,1,-1,2,NAN
-1,-1,-1,0,3,-2,-3,-1,NAN
-1,-2,5,7,5,3,0,-3,NAN
0,-1,3,-18,2,2,2,1,NAN
0,3,4,20,-11,-5,0,0,NAN
0,-2,-10,-27,-2,-1,-1,0,NAN
-1,-1,1,-8,2,-1,-3,1,NAN
1,-2,-6,11,4,2,2,-1,NAN
-2,-2,-2,1,-4,-1,-5,-1,NAN
-4,-3,-4,-9,-11,-3,-1,-2,NAN
-2,-1,-1,-28,-5,-5,-2,-2,NAN
4,0,-4,20,4,9,-1,-1,NAN
1,-3,2,-13,-1,-10,0,-2,NAN
0,-1,2,-3,0,1,-1,-2,NAN
-5,-1,8,22,-4,-5,-2,0,NAN
-5,-1,-3,-20,-4,-1,0,0,NAN
1,-1,3,-4,1,3,0,-1,NAN
1,2,-7,0,2,-1,-3,-2,NAN
-2,-2,0,11,1,-3,-1,0,NAN
-3,-1,-7,-12,-2,1,-1,-1,NAN
-1,-2,-6,-7,-3,-3,-1,-1,NAN
-1,-2,3,-6,-1,-3,-1,-3,NAN
2,-3,-6,-7,-1,1,-2,-1,NAN
-1,0,10,25,2,4,5,0,NAN
-3,-1,4,6,1,-6,-10,-2,NAN
0,1,-10,-20,-7,-3,0,1,NAN
-1,1,3,-1,3,-2,-3,0,NAN
-5,-2,-5,14,5,0,1,-1,NAN
-3,1,17,12,10,7,1,-2,NAN
6,-3,3,10,-2,-1,-3,0,NAN
1,-2,-9,-23,-5,-3,-1,-1,NAN
-3,-4,-9,-14,-14,-4,-3,-4,NAN
-2,3,-4,20,-1,0,0,1,NAN
-8,0,1,-25,2,0,0,-3,NAN
2,0,-3,8,9,4,1,1,NAN
0,-3,1,-1,-2,-4,-2,-1,NAN
0,-2,5,6,-2,-3,4,-3,NAN
0,-2,-13,-13,-4,-1,-5,0,NAN
-1,-2,-7,-42,0,-2,-5,-2,NAN
-2,0,-2,-11,2,7,1,-4,NAN
1,1,-8,1,-2,2,0,-1,NAN
-4,-2,13,2,-7,-2,-1,-2,NAN
-1,-1,4,21,-1,1,1,-1,NAN
1,0,-4,5,-3,-9,-6,-1,NAN
-1,-3,-6,-22,7,1,2,-1,NAN
0,-4,-10,10,-1,0,0,-1,NAN
-3,-1,-2,-29,-12,-4,-5,-4,NAN
1,3,5,11,1,-1,0,0,NAN
-7,-5,-9,8,-6,-7,-8,-3,NAN
2,3,11,18,3,3,-1,-2,NAN
4,-2,0,7,-2,-3,-2,-1,NAN
2,-2,0,-12,1,5,6,1,NAN
0,-3,-7,-13,-5,2,-1,2,NAN
-3,-1,2,13,3,-3,1,-1,NAN
-6,0,5,23,7,2,2,-2,NAN
0,0,9,3,1,-4,0,-4,NAN
0,0,-5,-10,-3,4,-8,0,NAN
-3,-2,0,-7,0,-10,0,-3,NAN
0,0,-5,7,-6,2,2,-1,NAN
-2,-3,-2,-10,-8,-11,-5,0,NAN
0,1,-3,-6,-3,0,2,-1,NAN
-2,-5,1,3,6,2,-5,-2,NAN
-2,1,0,32,2,3,4,-2,NAN
-1,-1,-10,-71,-9,-3,-3,0,NAN
-3,-5,-14,-9,-6,-4,2,-3,NAN
-5,-3,8,11,3,1,0,0,NAN
4,-3,0,-34,-3,-5,-4,-2,NAN
-1,0,7,25,4,-2,7,1,NAN
1,0,0,2,-2,-1,-9,-2,NAN
0,2,-6,-27,-5,-1,0,0,NAN
-4,0,3,14,-1,0,-1,0,NAN
1,2,-1,12,5,3,1,-1,NAN
1,-4,-3,-3,-2,-5,-2,-2,NAN
0,4,-2,7,0,1,0,1,NAN
0,-2,-1,-9,3,1,-1,0,NAN
0,-4,-8,10,-4,-7,-6,-1,NAN
-1,1,-6,-11,-1,-3,0,0,NAN
-1,-3,10,9,1,6,-1,0,NAN
0,1,1,-8,1,-3,-2,-1,NAN
-5,-2,6,21,5,4,-5,-2,NAN
-3,-1,1,-3,4,2,3,1,NAN
1,-1,-4,-7,-10,-8,-3,-2,NAN
0,-3,-9,0,2,-3,-2,-1,NAN
-2,1,1,8,1,2,1,-2,NAN
0,-1,10,7,-3,-1,2,-2,NAN
2,0,-8,-17,-4,-3,5,-1,NAN
-5,-2,-14,-11,-4,-1,-8,-2,NAN
-1,0,3,5,1,0,-5,-1,NAN
4,-4,4,-9,6,3,3,0,NAN
-3,-6,-7,-22,-7,-6,-1,-1,NAN
-1,0,2,21,4,8,6,-3,NAN
-1,-1,-4,31,6,-7,-1,1,NAN
-1,0,1,-25,-11,0,8,0,NAN
1,-5,-1,9,-2,-7,-13,-1,NAN
-1,1,7,-8,-5,0,-5,0,NAN
-3,2,-10,11,4,4,-2,-1,NAN
-1,0,12,13,8,-1,0,-2,NAN
0,2,5,1,1,5,6,0,NAN
-2,-6,-7,-2,-7,0,-2,-1,NAN
-2,-3,-8,-10,-6,-12,-1,-4,NAN
-2,0,2,8,1,-1,-1,0,NAN
0,1,5,6,-4,-1,0,0,NAN
-8,-3,-8,-40,-8,-1,-8,-3,NAN
