C1,C2,C3,C4,C5,C6,C7,C8,Marker
3,-3,-3,-3,-1,-1,0,2,NAN
-6,-5,0,0,0,0,0,-1,NAN
0,9,3,-2,-1,4,-1,-3,NAN
6,3,-3,-2,-3,-8,-2,-1,NAN
-4,-8,2,-1,-2,0,3,1,NAN
5,-8,1,1,-1,-4,-2,0,NAN
-5,5,1,-1,1,1,3,8,NAN
2,9,1,-3,-1,0,-7,-6,NAN
-3,-8,-3,0,1,4,8,4,NAN
-15,-4,0,-1,-3,-1,0,-2,NAN
1,1,-3,0,-2,-3,-1,-7,NAN
-2,6,0,0,2,5,0,0,NAN
-5,0,-1,-2,-5,-10,-5,-5,NAN
8,2,-4,-1,0,1,-5,-3,NAN
-6,-19,-5,-1,1,2,1,-1,NAN
-8,-11,-6,1,-2,-4,0,-5,NAN
8,10,2,-1,-1,1,-3,-2,NAN
6,7,-6,-4,-2,-1,1,-3,NAN
-12,-25,-4,-3,-3,-4,-4,5,NAN
6,12,2,-2,1,2,-1,0,NAN
-4,-8,-2,-2,0,0,-3,-2,NAN
-8,-8,3,0,-1,1,1,1,NAN
8,28,4,0,-1,-6,-3,-5,NAN
1,-16,-2,0,-1,1,-2,-2,NAN
-2,1,-1,0,1,1,2,1,NAN
-6,6,-4,-2,-3,-1,-3,-3,NAN
17,-20,0,1,1,1,-1,-4,NAN
-11,8,-8,-2,-1,-2,-1,0,NAN
-3,-18,-1,-2,-2,0,-4,-6,NAN
-2,32,7,1,-1,-2,-4,-2,NAN
0,-2,-3,-3,-1,0,1,-1,NAN
4,-9,-2,0,-2,0,-1,11,NAN
0,1,1,0,1,0,-2,-1,NAN
-3,-14,-10,-2,-2,0,0,-2,NAN
-17,-11,2,-2,-2,-6,-6,-7,NAN
12,26,10,1,-1,3,2,2,NAN
-8,-8,-7,-1,0,-1,-2,-2,NAN
5,9,1,-1,-1,-1,1,2,NAN
4,-18,-4,-4,-1,-2,-2,-4,NAN
-23,-17,-6,-1,0,4,-3,-4,NAN
7,26,6,-3,-4,-5,0,2,NAN
-2,-7,-2,-1,-2,-4,-5,-1,NAN
0,6,-11,0,-2,1,-3,-8,NAN
9,8,10,-1,-3,0,7,8,NAN
-3,-6,-7,-2,0,-1,-3,-3,NAN
2,-6,-1,-2,-1,-2,-3,0,NAN
-10,-7,-7,-1,-1,1,-1,-1,NAN
9,-3,-3,-2,0,-3,-1,-7,NAN
-2,-7,0,1,0,-2,-4,-4,NAN
5,-3,-5,-1,1,6,4,4,NAN
-14,2,0,0,-2,-8,-1,-4,NAN
7,5,2,-2,-1,-6,-2,-4,NAN
10,-5,-2,-1,0,3,-1,4,NAN
-15,1,-3,-2,-4,-4,-2,-7,NAN
14,5,-1,-1,-1,1,2,11,NAN
-5,-15,-1,2,1,0,2,2,NAN
2,24,2,0,-2,-1,-7,-8,NAN
-9,-5,-3,-3,-3,-4,3,1,NAN
2,-7,0,0,-2,-2,-4,-5,NAN
-1,-14,1,-3,-2,-3,2,-3,NAN
-4,28,-1,-1,0,3,-2,-2,NAN
4,-9,-5,0,0,2,-1,-2,NAN
-18,1,8,1,1,2,-1,-4,NAN
-2,-7,-5,-5,-3,0,-1,-5,NAN
-2,-4,0,0,-3,-3,-5,2,NAN
6,8,1,1,0,-3,2,7,NAN
7,-9,-7,-1,-2,1,3,3,NAN
-4,-15,-5,0,1,3,-4,-4,NAN
8,7,0,0,-2,-5,-2,-4,NAN
-24,-3,7,3,0,1,1,1,NAN
2,18,1,0,-1,-3,3,1,NAN
