Timestamp, Rotation x, Rotation y, Rotation z, Marker
30,-0.0625,0.75,0.875,0
50,-0.4375,0.75,0.6875,0
70,-1,1.3125,0.625,0
90,-0.8125,1.25,0.5625,0
110,-0.625,0.9375,0.625,0
130,0,1.0625,0.25,0
150,0.375,0.9375,0.25,0
170,0,1.0625,0.5,0
190,-0.0625,1.25,0.5,0
210,0.125,1.1875,0.6875,0
230,0.3125,0.9375,1.125,0
240,-0.3125,1,1.4375,0
240,-0.9375,1.3125,1.5625,0
280,-1.0625,1.25,1.375,0
290,-0.625,1,1.25,0
310,-0.4375,1,1.0625,0
330,-0.625,0.75,0.625,0
350,-0.9375,0.75,0.5,0
370,-0.8125,0.5625,0.5,0
390,-1,0.625,0.25,0
410,-0.4375,0.625,0.125,0
430,-0.375,0.5,0.125,0
450,0,0.375,0.125,0
470,0.125,0.4375,0,0
490,0.0625,0.625,0.125,0
510,0.125,0.5625,0.25,0
520,0.4375,0.375,0.3125,0
540,0.3125,0.125,0.6875,0
560,0.5625,-0.1875,0.6875,0
580,0.625,-0.4375,0.5625,0
600,0.375,-0.75,0.25,0
620,-1.3125,-0.6875,0,0
640,-12.25,0.5,1.75,0
660,-30,-3,3.0625,0
680,-23.375,-11.1875,-12.6875,0
700,-30.0625,-22.1875,-23.875,0
720,-46.8125,-31,-27.125,0
740,-18.9375,-38.8125,-34.375,0
760,3.25,-45.3125,-57.1875,0
780,15,-59.375,-86.6875,0
800,16.4375,-77.125,-94.125,0
840,-18.3125,-117.938,-127.625,0
860,-35.6875,-143.5,-140.438,0
880,-49.8125,-169.188,-149.688,0
910,-67.375,-236.125,-183,0
930,-55.1875,-254.5,-179.938,0
950,-55.25,-266.25,-169.938,0
970,-65.125,-269.25,-165.375,0
990,-69.6875,-267.562,-155.625,0
1010,-62.875,-263.812,-138.688,0
1030,-52.9375,-252,-125.938,0
1060,-22.1875,-219.188,-103.062,0
1080,-18.5,-192.375,-90.5,0
1100,-21.5625,-165.75,-82.1875,0
1120,-15.5625,-143.75,-73.875,0
1140,-4.4375,-128.062,-64.875,0
1160,5.5,-113.938,-54.4375,0
1180,7.25,-101.562,-48.9375,0
1200,13.5,-88.9375,-44.4375,0
1220,14.8125,-76.4375,-39.8125,0
1230,18.125,-63.1875,-26.375,0
1250,21.25,-62.1875,-22.8125,0
1270,24.375,-61.9375,-20.5625,0
1290,28.5,-63.5,-19.1875,0
1310,25.1875,-60.9375,-18.9375,0
1330,25.875,-58.0625,-18.375,0
1350,31.25,-53.125,-17.4375,0
1370,37.3125,-46.5625,-15.5625,0
1390,34.3125,-40.75,-12.8125,0
1410,32.5625,-31.1875,-8.75,0
1430,37.375,-20.375,-2.375,0
1450,38.5,-13.375,5.5,0
1470,37.25,-7.6875,11.25,0
1490,32.125,-0.0625,7.25,0
1510,21.875,5.625,4.875,0
1530,17.0625,4.1875,5.125,0
1550,22.5625,-3.25,10.125,0
1570,23,-7.625,10,0
1590,12.6875,-4.5625,3.5,0
1610,7.4375,3.0625,0.3125,0
1630,5.0625,8.5625,2.1875,0
1650,10.0625,10.25,6.5625,0
1670,14.6875,11.125,9.5,0
1690,20.1875,9.125,4.125,0
1710,16.875,7.625,-1.75,0
1730,8.125,8.25,-2.75,0
1750,2.625,11.9375,1,0
1770,4,15.4375,6.3125,0
1790,6.9375,16.0625,6.6875,0
1810,5.0625,12.9375,5.875,0
1830,1.6875,10.6875,4.125,0
