Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
30,-0.298828,-0.391113,0.814941,0
50,-0.30127,-0.392578,0.810059,0
70,-0.299805,-0.390625,0.808594,0
90,-0.299805,-0.383301,0.801758,0
110,-0.300781,-0.393555,0.796875,0
130,-0.30127,-0.391113,0.802734,0
150,-0.305664,-0.388672,0.810547,0
170,-0.297852,-0.39209,0.816406,0
190,-0.299805,-0.393555,0.813477,0
210,-0.296875,-0.394043,0.806152,0
230,-0.300781,-0.392578,0.809082,0
240,-0.303223,-0.396484,0.813477,0
240,-0.30127,-0.392578,0.804199,0
280,-0.305176,-0.393555,0.800293,0
290,-0.306152,-0.394043,0.79834,0
310,-0.311523,-0.398926,0.806641,0
330,-0.310547,-0.395508,0.806641,0
350,-0.309082,-0.395508,0.799316,0
370,-0.309082,-0.402832,0.794922,0
390,-0.304199,-0.394043,0.803223,0
410,-0.308594,-0.389648,0.809082,0
430,-0.305664,-0.398438,0.796875,0
450,-0.307129,-0.398438,0.801758,0
470,-0.305664,-0.394043,0.805664,0
490,-0.302734,-0.39502,0.804199,0
510,-0.303711,-0.393555,0.796875,0
520,-0.305664,-0.385742,0.797852,0
540,-0.308105,-0.385254,0.802246,0
560,-0.312988,-0.394531,0.797363,0
580,-0.3125,-0.394043,0.799805,0
600,-0.30957,-0.39502,0.797852,0
620,-0.312012,-0.408203,0.800293,0
640,-0.318359,-0.455078,0.802246,0
660,-0.337402,-0.422363,0.848633,0
680,-0.443359,-0.36084,0.901855,0
700,-0.450195,-0.435547,0.836914,0
720,-0.472656,-0.345703,0.87207,0
740,-0.472656,-0.448242,0.844727,0
760,-0.400879,-0.643066,0.811035,0
780,-0.367676,-0.713867,0.910156,0
800,-0.157227,-0.655273,0.989746,0
840,0.18457,-0.617188,0.967773,0
860,0.264648,-0.624512,0.956055,0
880,0.358887,-0.625977,0.904297,0
910,0.541992,-0.597168,0.798828,0
930,0.621094,-0.511719,0.68457,0
950,0.723145,-0.475098,0.591797,0
970,0.766602,-0.40332,0.595703,0
990,0.717773,-0.352539,0.540039,0
1010,0.76123,-0.328613,0.451172,0
1030,0.804199,-0.279785,0.377441,0
1060,0.799805,-0.217773,0.268066,0
1080,0.791016,-0.200684,0.199219,0
1100,0.749023,-0.172852,0.161621,0
1120,0.754883,-0.189453,0.120117,0
1140,0.733887,-0.161621,0.059082,0
1160,0.77832,-0.175781,0.0244141,0
1180,0.756836,-0.180664,0.0161133,0
1200,0.790527,-0.160645,-0.0703125,0
1220,0.775391,-0.154785,-0.155762,0
1230,0.854004,-0.146973,-0.189453,0
1250,0.875977,-0.0917969,-0.216309,0
1270,0.897461,-0.0664062,-0.250488,0
1290,0.92627,-0.0791016,-0.290527,0
1310,0.919922,-0.0766602,-0.303711,0
1330,0.878418,-0.0517578,-0.298828,0
1350,0.866699,-0.027832,-0.291016,0
1370,0.831543,-0.0673828,-0.348633,0
1390,0.791016,-0.110352,-0.373047,0
1410,0.792969,-0.0947266,-0.358398,0
1430,0.786621,-0.106445,-0.39502,0
