C1,C2,C3,C4,C5,C6,C7,C8,Marker
-2,-1,0,-1,10,8,14,3,NAN
-1,0,-1,-1,-6,-6,-23,-3,NAN
0,-3,-4,1,-10,0,4,-2,NAN
-2,-1,-1,-1,2,-4,-3,-2,NAN
0,-1,0,-8,-10,1,-3,-1,NAN
-1,-1,-3,-14,-8,0,-1,-5,NAN
-1,0,-4,-7,-10,-7,-6,0,NAN
0,-2,-6,0,2,-3,-14,-1,NAN
-1,-1,4,2,0,-3,-6,0,NAN
0,-1,1,6,9,4,-9,-2,NAN
1,-1,10,10,12,2,3,-2,NAN
0,-2,-10,-11,-24,-12,-9,-2,NAN
1,1,-1,2,8,5,4,2,NAN
-1,0,0,4,-13,-1,2,-2,NAN
0,-1,-5,-17,-4,-2,-3,-2,NAN
-1,-1,1,-8,2,4,0,-2,NAN
-2,-2,-3,-2,-4,-6,0,1,NAN
0,0,0,1,5,2,1,-1,NAN
-1,0,-2,2,7,5,2,0,NAN
1,0,-1,-4,-13,-4,-2,0,NAN
-1,-2,-3,0,1,-2,-3,0,NAN
-2,-1,-2,-1,0,-4,-3,-2,NAN
0,-1,-1,-1,-10,10,16,2,NAN
0,-1,-4,-3,-12,-8,-1,0,NAN
-1,1,-2,-6,2,-5,-3,1,NAN
-1,0,1,-2,7,3,1,2,NAN
0,1,0,14,2,-2,-6,-1,NAN
-3,-4,-3,-24,-21,-9,1,-3,NAN
-1,-1,-4,3,2,1,-12,-2,NAN
1,0,1,9,11,4,6,1,NAN
0,-1,1,-2,-9,-6,-7,-1,NAN
0,0,0,5,4,0,4,-1,NAN
1,0,1,0,-7,7,8,-1,NAN
-1,-1,-4,4,0,-1,-2,-1,NAN
-1,-2,2,-4,1,-2,-4,-2,NAN
-1,0,2,-5,-8,3,9,0,NAN
-1,-1,0,9,11,1,0,-2,NAN
-1,-2,-4,-15,-4,-2,0,-1,NAN
-1,-1,-1,6,-2,-4,-4,-1,NAN
-2,-1,0,-1,-1,0,2,0,NAN
0,-2,-5,2,2,-1,-6,0,NAN
0,0,5,11,21,3,1,1,NAN
1,-1,-5,-5,-21,-8,-4,1,NAN
-1,-1,5,-5,-18,-9,-3,-3,NAN
-1,-2,-8,-7,-2,-4,-4,-3,NAN
-1,-1,-20,-7,-6,1,1,0,NAN
1,1,27,4,14,6,0,1,NAN
1,-1,-5,0,2,2,14,2,NAN
-3,-1,4,8,-3,-5,-13,-4,NAN
1,0,-1,-5,-1,-1,0,-1,NAN
-2,0,1,15,8,7,4,2,NAN
-2,-1,3,-7,-9,-6,0,1,NAN
-1,-1,-6,-3,5,1,11,2,NAN
-1,-1,3,7,5,-1,-7,-4,NAN
0,0,-5,-12,-16,-5,0,-1,NAN
-1,-1,2,9,-8,-3,-2,-1,NAN
1,0,-2,-6,-4,0,0,-1,NAN
-1,0,-4,1,7,3,3,2,NAN
-1,-1,2,-1,7,-1,-2,1,NAN
0,0,0,-2,-4,-5,-7,-4,NAN
0,-1,1,-3,8,8,10,1,NAN
0,2,5,12,8,-3,-16,-1,NAN
-2,-2,-6,-8,-8,-2,-16,-3,NAN
-2,-1,-2,-13,-8,-9,1,1,NAN
0,-2,-2,-16,-6,5,1,1,NAN
-1,1,0,-6,-7,-5,-5,-2,NAN
-1,1,-1,4,1,-3,-1,1,NAN
-1,-1,6,1,-1,1,-3,-2,NAN
-1,0,-5,-2,0,-6,-6,-4,NAN
1,0,-2,-2,5,1,-4,-1,NAN
0,0,-2,0,-5,2,4,-1,NAN
1,0,2,15,9,5,4,1,NAN
-1,-1,2,3,3,-3,-5,0,NAN
0,-2,-5,-7,-1,0,-1,0,NAN
-2,-1,-3,-8,-15,-5,9,0,NAN
-2,0,-1,-3,-7,-5,-7,1,NAN
0,0,1,1,4,-1,-5,-1,NAN
-1,2,1,8,0,0,3,1,NAN
0,-1,0,6,17,10,7,3,NAN
0,-1,0,2,0,0,-1,0,NAN
-1,-3,1,-4,-9,-1,-2,2,NAN
-2,0,0,-5,0,1,-2,0,NAN
0,-1,-1,-1,9,4,7,1,NAN
-1,-1,0,11,-5,-8,-15,-1,NAN
-1,-3,-8,-17,-15,3,3,-2,NAN
-1,-2,3,3,-3,-4,2,0,NAN
-1,-3,-3,-1,0,-3,-7,-2,NAN
0,1,6,10,13,3,8,3,NAN
0,0,-5,0,7,4,1,-1,NAN
-1,-2,-5,-7,-5,2,1,-1,NAN
-1,0,0,-2,-6,-7,0,-2,NAN
-1,-2,-2,-5,-7,-1,-1,-2,NAN
-1,0,-3,-19,-14,-8,-4,-2,NAN
-1,0,1,14,14,0,-11,-2,NAN
-1,1,1,10,12,6,-2,1,NAN
-1,-2,-5,-17,-11,-1,4,-1,NAN
-1,-4,-3,-17,-24,-14,5,-1,NAN
-1,-1,-4,-5,-8,-5,6,0,NAN
