C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-3,-1,6,-3,10,-15,-5,NAN
1,1,3,4,2,5,9,-3,NAN
-1,-3,0,-1,-7,-12,6,3,NAN
0,0,-5,5,3,5,8,2,NAN
1,3,3,20,5,-5,-17,0,NAN
-5,-3,-9,-40,-8,-7,-16,-4,NAN
-2,-5,-15,-26,-5,2,-2,-3,NAN
-2,0,-1,-6,0,0,5,1,NAN
-2,-3,0,6,4,9,17,-1,NAN
-1,0,10,18,1,-1,-9,2,NAN
-1,-2,-5,-3,-3,-12,-22,-5,NAN
-3,-3,5,4,8,9,-9,5,NAN
2,0,1,5,7,9,13,3,NAN
-2,-2,-5,8,5,6,2,-5,NAN
-2,-5,-6,-21,-8,-7,16,2,NAN
0,-4,-1,-18,-6,0,3,2,NAN
0,0,2,3,-3,-8,-17,-2,NAN
5,0,-8,7,-4,0,20,4,NAN
-2,-2,-6,-9,-6,-6,1,2,NAN
-1,0,10,4,1,7,-8,-9,NAN
0,-2,-9,-2,-1,-1,8,6,NAN
-4,1,7,-2,2,6,3,-10,NAN
-2,1,0,5,5,6,4,-6,NAN
-2,-6,-11,-27,-7,-4,0,0,NAN
3,9,10,8,5,-3,8,-2,NAN
-3,11,-14,9,-1,0,2,3,NAN
-2,3,3,1,-2,0,-14,-9,NAN
-2,6,19,34,6,0,26,-2,NAN
5,4,-3,-6,0,-3,5,0,NAN
-2,-4,-2,-1,-3,1,-14,-5,NAN
1,0,1,12,0,-6,-9,-10,NAN
-5,-10,0,0,3,4,12,16,NAN
14,5,-6,-16,-2,-3,-8,-30,NAN
4,18,3,11,5,-2,-15,-7,NAN
-7,-2,5,4,-1,-5,-1,10,NAN
-12,-3,-5,-3,-4,-2,0,7,NAN
-4,8,4,10,4,4,12,23,NAN
6,3,-11,-19,-5,-4,-16,10,NAN
10,10,0,-4,-1,3,5,32,NAN
-10,-8,5,14,5,-2,-13,-18,NAN
12,28,3,2,6,8,1,-91,NAN
-2,4,2,2,-3,-1,2,13,NAN
15,2,14,13,9,8,2,-32,NAN
-12,8,-8,-9,-9,-10,-14,-23,NAN
-1,-23,-5,-5,-2,-5,2,60,NAN
-3,4,-6,-2,-1,-3,-8,-34,NAN
4,10,4,3,5,2,3,-13,NAN
-8,-13,10,0,-1,2,6,46,NAN
-71,-1,-2,-1,1,1,-6,-72,NAN
78,-9,-14,-7,-6,-3,9,71,NAN
-78,-49,-10,-1,-5,-7,-20,-68,NAN
82,-15,-8,-9,-2,0,-2,31,NAN
-11,24,0,0,-4,-6,1,16,NAN
4,22,4,5,4,4,1,16,NAN
5,17,6,2,3,2,4,13,NAN
-22,4,4,8,4,8,-10,-30,NAN
-3,-14,-3,-4,-6,-9,-12,1,NAN
-1,7,-2,-2,-5,-7,-16,34,NAN
38,-5,-7,-7,-9,-13,-8,1,NAN
-35,4,-1,3,0,-4,11,-14,NAN
-5,6,2,3,0,-2,-5,21,NAN
-4,-10,3,13,6,3,-6,-6,NAN
50,14,-8,-24,-8,0,15,101,NAN
-44,9,-6,-11,-3,-1,-17,-125,NAN
14,-13,-3,2,3,3,5,81,NAN
-22,-22,-1,6,4,11,10,45,NAN
6,16,18,16,7,-9,-3,44,NAN
13,-6,3,-7,-12,-11,-2,6,NAN
7,-5,-8,-5,-9,-17,-18,1,NAN
-2,5,3,0,3,3,3,30,NAN
-4,-2,1,0,-5,-9,-19,-21,NAN
6,-4,-1,-3,-3,5,16,9,NAN
-3,-1,-3,-7,5,15,26,2,NAN
-11,-6,2,3,2,-2,4,4,NAN
15,-6,-8,-1,-2,-2,-3,-86,NAN
-18,9,2,5,4,4,8,73,NAN
2,-7,-3,-8,1,9,-4,-9,NAN
1,-9,-4,-3,-3,2,-2,-23,NAN
-1,4,0,2,5,6,-5,-23,NAN
6,7,-4,-3,-15,-37,-7,-8,NAN
-6,-29,-4,5,-2,-1,3,17,NAN
-3,17,-2,-4,-5,-3,-7,-26,NAN
-1,-2,8,-1,1,4,5,18,NAN
6,0,0,-2,7,27,7,15,NAN
-8,-3,0,2,-1,-3,4,18,NAN
-13,-9,2,1,-1,-2,11,12,NAN
-4,4,1,3,1,2,0,-6,NAN
-3,-3,2,10,4,15,13,19,NAN
1,4,-6,-16,-4,2,-7,16,NAN
-3,-3,-2,-5,3,7,11,-12,NAN
5,-4,-2,2,-2,2,0,1,NAN
-7,-6,7,16,-3,-3,29,5,NAN
1,8,6,2,-2,6,-20,-4,NAN
-3,1,-5,-2,4,-15,-32,-16,NAN
13,2,7,12,-3,-13,-7,9,NAN
-10,-3,7,22,0,15,9,-2,NAN
-1,-29,-21,-2,-1,-1,2,-12,NAN
-10,20,-1,-5,-3,-4,-12,-29,NAN
-16,-8,14,22,11,7,16,8,NAN
40,16,29,-20,-5,-7,5,19,NAN
-2,-7,-16,-12,-8,-12,-12,-22,NAN
11,0,5,6,5,10,13,10,NAN
-7,20,11,22,17,27,5,-35,NAN
-6,-28,-25,-12,-28,-66,-12,8,NAN
-1,0,0,1,-4,6,-2,5,NAN
-6,0,4,13,15,36,18,7,NAN
0,-3,-4,-20,-22,-57,-11,9,NAN
5,11,-3,-3,9,64,-9,-3,NAN
21,8,50,19,6,-9,44,94,NAN
-20,-9,-57,-18,-4,-1,-28,-26,NAN
25,1,36,22,1,1,-22,-91,NAN
-10,-29,-27,7,2,1,23,127,NAN
-18,-9,-17,-19,-2,36,-14,-84,NAN
15,14,7,9,40,108,6,10,NAN
7,11,-58,-44,-31,-78,-15,64,NAN
25,15,59,30,13,16,4,36,NAN
-24,-28,-7,18,-29,-43,6,-37,NAN
-5,-3,7,-2,-9,-34,3,-27,NAN
6,7,-5,8,19,26,18,73,NAN
-6,-2,9,8,2,-11,10,-70,NAN
-9,-27,9,6,2,18,-2,54,NAN
