Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
40,-0.491699,-0.699219,0.523926,0
60,-0.501465,-0.678223,0.531738,0
80,-0.515137,-0.657715,0.530273,0
100,-0.515625,-0.635742,0.528809,0
120,-0.51709,-0.62793,0.53125,0
130,-0.524414,-0.631836,0.530762,0
130,-0.523438,-0.629395,0.536621,0
180,-0.52002,-0.628906,0.537598,0
200,-0.513672,-0.639648,0.536133,0
220,-0.510742,-0.635254,0.541992,0
240,-0.506836,-0.638672,0.541992,0
260,-0.507324,-0.629883,0.554688,0
280,-0.498535,-0.627441,0.561523,0
300,-0.492676,-0.626953,0.570801,0
320,-0.474121,-0.620605,0.567871,0
340,-0.473633,-0.624512,0.569824,0
360,-0.476074,-0.62207,0.569824,0
380,-0.477539,-0.621582,0.563477,0
400,-0.484375,-0.631836,0.563477,0
420,-0.489746,-0.637695,0.560059,0
440,-0.490723,-0.634766,0.558105,0
460,-0.48584,-0.636719,0.563965,0
480,-0.491699,-0.625977,0.560059,0
500,-0.498047,-0.629395,0.551758,0
520,-0.505371,-0.634766,0.544922,0
530,-0.49707,-0.630371,0.552246,0
550,-0.504883,-0.634277,0.545898,0
570,-0.510742,-0.62793,0.553711,0
590,-0.509277,-0.625488,0.553711,0
610,-0.499023,-0.625977,0.567383,0
630,-0.495605,-0.62207,0.567871,0
650,-0.490723,-0.612793,0.578125,0
670,-0.466309,-0.617676,0.590332,0
690,-0.470703,-0.661621,0.591797,0
710,-0.466797,-0.666992,0.571289,0
730,-0.474121,-0.61377,0.569336,0
750,-0.48877,-0.547852,0.571777,0
770,-0.494629,-0.556152,0.568848,0
790,-0.494629,-0.59375,0.570312,0
810,-0.478027,-0.621094,0.575195,0
830,-0.470703,-0.634277,0.580566,0
850,-0.47168,-0.623047,0.584961,0
870,-0.489746,-0.617188,0.581055,0
890,-0.503418,-0.610352,0.589844,0
910,-0.508301,-0.598145,0.594727,0
930,-0.510742,-0.598145,0.608398,0
