Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
20,-0.861816,-0.562988,-0.162109,0
50,-0.868164,-0.562988,-0.155273,0
70,-0.875,-0.55957,-0.158203,0
90,-0.874512,-0.557617,-0.165527,0
110,-0.873535,-0.553711,-0.156738,0
120,-0.868652,-0.558105,-0.163086,0
130,-0.864746,-0.557129,-0.152832,0
170,-0.86377,-0.559082,-0.155273,0
190,-0.870605,-0.556641,-0.160156,0
210,-0.874023,-0.558594,-0.154785,0
230,-0.875488,-0.562012,-0.157715,0
250,-0.875977,-0.562012,-0.156738,0
270,-0.873047,-0.557617,-0.157715,0
290,-0.871582,-0.557129,-0.15625,0
310,-0.865234,-0.551758,-0.151855,0
330,-0.866699,-0.556641,-0.155762,0
350,-0.869141,-0.557129,-0.15918,0
370,-0.874512,-0.553711,-0.162109,0
390,-0.873047,-0.555176,-0.15625,0
410,-0.87793,-0.559082,-0.155273,0
430,-0.871094,-0.549316,-0.156738,0
450,-0.868652,-0.558594,-0.155762,0
470,-0.871094,-0.561035,-0.159668,0
490,-0.872559,-0.558105,-0.156738,0
510,-0.875,-0.555664,-0.154297,0
530,-0.873535,-0.552734,-0.160645,0
550,-0.873535,-0.556152,-0.15332,0
570,-0.87207,-0.559082,-0.156738,0
590,-0.870117,-0.549316,-0.158203,0
610,-0.863281,-0.554199,-0.159668,0
630,-0.869141,-0.563965,-0.155273,0
650,-0.883301,-0.5625,-0.157227,0
670,-0.883301,-0.561035,-0.163086,0
690,-0.876465,-0.54834,-0.16748,0
710,-0.864258,-0.552734,-0.162109,0
730,-0.865234,-0.555664,-0.15332,0
750,-0.865723,-0.557129,-0.153809,0
770,-0.877441,-0.552734,-0.160645,0
790,-0.879395,-0.557617,-0.160645,0
810,-0.873535,-0.562012,-0.162598,0
830,-0.876953,-0.561035,-0.155762,0
850,-0.866699,-0.553223,-0.15625,0
870,-0.862305,-0.555176,-0.155273,0
890,-0.864258,-0.5625,-0.158203,0
910,-0.873535,-0.566406,-0.15625,0
930,-0.875,-0.554199,-0.156738,0
950,-0.87793,-0.555176,-0.157227,0
970,-0.872559,-0.547363,-0.157715,0
990,-0.865723,-0.557129,-0.158691,0
1010,-0.865234,-0.561035,-0.163574,0
1030,-0.871094,-0.561035,-0.166016,0
1050,-0.874512,-0.556641,-0.165039,0
1070,-0.873535,-0.559082,-0.158691,0
1090,-0.875488,-0.563965,-0.155273,0
1110,-0.872559,-0.55957,-0.154785,0
1130,-0.871582,-0.55957,-0.162598,0
1150,-0.869629,-0.561523,-0.154297,0
1170,-0.870117,-0.558594,-0.158203,0
1190,-0.871094,-0.557129,-0.156738,0
1210,-0.869629,-0.564941,-0.158203,0
