Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
40,-0.334473,-0.458008,0.759277,0
60,-0.335449,-0.452637,0.763672,0
80,-0.333008,-0.461914,0.761719,0
100,-0.329102,-0.463867,0.762207,0
120,-0.33252,-0.456543,0.765625,0
140,-0.330078,-0.459473,0.759277,0
160,-0.331543,-0.462891,0.77002,0
160,-0.33252,-0.453125,0.762207,0
160,-0.333008,-0.458496,0.765137,0
210,-0.33252,-0.459473,0.759277,0
230,-0.330566,-0.460449,0.765137,0
250,-0.331055,-0.460938,0.761719,0
270,-0.32959,-0.455078,0.759766,0
290,-0.332031,-0.455566,0.762207,0
310,-0.334961,-0.462402,0.765625,0
330,-0.333496,-0.461426,0.757812,0
350,-0.33252,-0.461914,0.767578,0
370,-0.334473,-0.45752,0.763184,0
390,-0.334473,-0.455078,0.762695,0
410,-0.33252,-0.458496,0.760742,0
430,-0.333008,-0.458008,0.76123,0
450,-0.330566,-0.457031,0.760254,0
470,-0.335938,-0.45752,0.76123,0
490,-0.332031,-0.456543,0.753906,0
510,-0.336914,-0.458008,0.760254,0
530,-0.336426,-0.459473,0.758301,0
550,-0.341309,-0.457031,0.76123,0
570,-0.33252,-0.459473,0.762207,0
590,-0.34082,-0.455078,0.765625,0
610,-0.33252,-0.452637,0.760742,0
630,-0.338379,-0.461914,0.759766,0
650,-0.340332,-0.45752,0.760254,0
670,-0.336914,-0.455078,0.755371,0
690,-0.337891,-0.456055,0.759766,0
710,-0.334473,-0.461426,0.763672,0
730,-0.339844,-0.45752,0.768066,0
750,-0.340332,-0.458008,0.765137,0
770,-0.336426,-0.456543,0.761719,0
790,-0.335938,-0.461426,0.757324,0
810,-0.336914,-0.459961,0.75293,0
830,-0.339844,-0.457031,0.75,0
850,-0.340332,-0.455078,0.762207,0
870,-0.341309,-0.463379,0.760742,0
890,-0.344238,-0.455078,0.761719,0
910,-0.341309,-0.460449,0.758301,0
930,-0.344238,-0.455566,0.754395,0
950,-0.336914,-0.458496,0.75,0
970,-0.337402,-0.461914,0.759766,0
990,-0.342285,-0.453125,0.76416,0
1010,-0.342285,-0.456543,0.757324,0
1030,-0.341309,-0.45752,0.760254,0
1050,-0.340332,-0.453613,0.762207,0
1070,-0.341309,-0.44873,0.759766,0
1090,-0.342773,-0.452148,0.75293,0
1110,-0.343262,-0.453613,0.754395,0
1130,-0.343262,-0.456055,0.760742,0
1150,-0.344727,-0.452637,0.76123,0
1160,-0.341797,-0.45166,0.757812,0
1180,-0.339355,-0.457031,0.757324,0
1200,-0.342773,-0.453613,0.760254,0
1220,-0.342285,-0.454102,0.762695,0
1240,-0.341309,-0.459961,0.757324,0
1260,-0.337891,-0.449219,0.762695,0
1280,-0.34082,-0.454102,0.758301,0
1300,-0.345215,-0.454102,0.755859,0
1320,-0.341797,-0.455078,0.755859,0
1340,-0.342773,-0.45752,0.758789,0
1360,-0.341309,-0.456543,0.763184,0
1380,-0.341797,-0.455566,0.76123,0
1400,-0.339844,-0.458496,0.768066,0
1420,-0.342285,-0.456543,0.760254,0
1440,-0.342773,-0.446289,0.762695,0
1460,-0.342285,-0.460938,0.757324,0
1480,-0.339355,-0.455078,0.764648,0
1500,-0.341309,-0.452148,0.756348,0
1520,-0.337402,-0.454102,0.761719,0
1540,-0.337891,-0.453613,0.769043,0
1560,-0.341309,-0.454102,0.770508,0
1580,-0.341309,-0.452148,0.76709,0
1600,-0.334961,-0.453125,0.760742,0
1620,-0.335938,-0.449707,0.763184,0
1640,-0.339844,-0.450195,0.757324,0
1660,-0.340332,-0.455078,0.760742,0
1680,-0.341309,-0.458984,0.765137,0
1700,-0.341309,-0.450684,0.762695,0
1720,-0.337891,-0.455078,0.765625,0
1740,-0.337891,-0.460938,0.765137,0
1760,-0.334473,-0.450195,0.760742,0
1780,-0.339844,-0.45752,0.760254,0
1800,-0.339355,-0.462402,0.776367,0
1820,-0.354004,-0.519531,0.756836,0
1840,-0.36377,-0.556152,0.763672,0
1860,-0.354492,-0.55127,0.773438,0
1880,-0.303223,-0.489746,0.817383,0
1900,-0.40918,-0.519043,0.768555,0
1920,-0.492676,-0.501465,0.713867,0
1940,-0.470215,-0.429688,0.717285,0
1960,-0.394531,-0.340332,0.831543,0
1980,-0.380371,-0.3125,0.716797,0
2000,-0.399902,-0.197754,0.79248,0
2020,-0.313965,-0.144043,0.891113,0
2040,-0.28418,-0.214355,0.915527,0
2060,-0.239258,-0.336914,0.890625,0
2080,-0.255859,-0.34668,0.907227,0
2100,-0.196289,-0.3125,0.947754,0
2120,-0.182617,-0.266602,0.943359,0
2140,-0.0859375,-0.244141,0.930664,0
2160,-0.0712891,-0.231934,0.885742,0
2180,-0.0961914,-0.305176,0.938477,0
2200,-0.0405273,-0.364746,0.927734,0
2220,0.0112305,-0.339355,0.934082,0
2240,0.0517578,-0.290527,0.922852,0
2260,0.0229492,-0.303711,0.897461,0
2280,0.0180664,-0.34668,0.874023,0
2300,0.0888672,-0.362793,0.895996,0
2320,0.146484,-0.32666,0.865234,0
2340,0.164062,-0.3125,0.817383,0
2360,0.128906,-0.321289,0.817871,0
2380,0.164551,-0.352539,0.828613,0
2400,0.164551,-0.348633,0.84375,0
2420,0.122559,-0.303711,0.722656,0
2440,0.112793,-0.32373,0.745117,0
2460,0.104004,-0.258301,0.793945,0
2480,0.0834961,-0.320801,0.816895,0
2500,0.121582,-0.373535,0.857422,0
2520,0.133789,-0.439941,0.782227,0
2540,0.134766,-0.48877,0.803711,0
2560,0.144043,-0.40625,0.908203,0
2580,0.0600586,-0.265625,0.888672,0
2600,0.0600586,-0.251953,0.826172,0
2620,0.118652,-0.310059,0.829102,0
2640,0.158691,-0.29834,0.861328,0
2660,0.15918,-0.30127,0.858887,0
2680,0.110352,-0.299316,0.804199,0
