Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
40,0.141602,-0.831055,0.495605,0
60,0.138184,-0.830566,0.48877,0
80,0.146973,-0.815918,0.48877,0
100,0.140137,-0.827148,0.500977,0
120,0.129395,-0.829102,0.480957,0
140,0.14209,-0.808105,0.475098,0
160,0.130371,-0.800781,0.474609,0
180,0.114746,-0.801758,0.481934,0
200,0.115723,-0.81543,0.527832,0
200,0.105469,-0.874512,0.527832,0
200,0.144043,-0.868652,0.506348,0
250,0.186523,-0.858398,0.477051,0
270,0.220215,-0.78418,0.448242,0
290,0.1875,-0.722168,0.452148,0
310,0.16748,-0.764648,0.473145,0
330,0.196289,-0.814453,0.480957,0
350,0.181641,-0.83252,0.503418,0
370,0.183105,-0.799805,0.508789,0
390,0.183594,-0.736328,0.510254,0
410,0.166016,-0.718262,0.536621,0
430,0.163086,-0.723145,0.57373,0
470,0.168457,-0.773438,0.588379,0
490,0.179199,-0.78418,0.598633,0
510,0.239746,-0.785156,0.569824,0
530,0.237793,-0.720215,0.532715,0
550,0.229492,-0.658203,0.468262,0
570,0.194824,-0.702148,0.461426,0
590,0.191895,-0.786133,0.506348,0
610,0.169434,-0.853027,0.48584,0
630,0.110352,-0.857422,0.525879,0
650,0.097168,-0.807129,0.531738,0
670,0.0664062,-0.777344,0.512207,0
690,0.134766,-0.781738,0.48877,0
710,0.148438,-0.791992,0.499023,0
730,0.118164,-0.787109,0.557129,0
750,0.133789,-0.79541,0.578125,0
770,0.137695,-0.728027,0.595215,0
790,0.143066,-0.678223,0.538086,0
810,0.150391,-0.702148,0.547852,0
830,0.154297,-0.782715,0.54834,0
850,0.180664,-0.791016,0.542969,0
870,0.191406,-0.761719,0.556152,0
890,0.190918,-0.717773,0.572754,0
910,0.154297,-0.694824,0.584473,0
930,0.149902,-0.734863,0.564941,0
950,0.131836,-0.763672,0.581543,0
970,0.127441,-0.782715,0.578613,0
980,0.117188,-0.776367,0.586426,0
1000,0.0571289,-0.724121,0.601562,0
1020,0.0805664,-0.72168,0.591309,0
1040,0.118652,-0.742676,0.568359,0
1060,0.125488,-0.744141,0.546875,0
1080,0.116699,-0.774414,0.540039,0
1100,0.12207,-0.769531,0.538574,0
1120,0.109863,-0.733398,0.567383,0
1140,0.134277,-0.73877,0.576172,0
1160,0.146484,-0.758301,0.560059,0
1180,0.151855,-0.756836,0.54541,0
1200,0.0996094,-0.754395,0.566895,0
1220,0.0839844,-0.740723,0.58252,0
1240,0.0888672,-0.725098,0.586914,0
1260,0.0888672,-0.721191,0.592773,0
1280,0.121094,-0.711426,0.603516,0
1300,0.140625,-0.733398,0.605469,0
1320,0.132324,-0.75293,0.563965,0
1340,0.0927734,-0.722168,0.598145,0
1360,0.0932617,-0.714844,0.583008,0
1380,0.097168,-0.733887,0.5625,0
1400,0.106445,-0.723145,0.575195,0
1420,0.0844727,-0.740234,0.573242,0
1440,0.0473633,-0.762207,0.586426,0
1460,0.0512695,-0.773438,0.612305,0
1480,0.0410156,-0.765137,0.603027,0
1520,0.0454102,-0.774902,0.564941,0
1540,0.0322266,-0.791016,0.571289,0
1560,0.0366211,-0.802246,0.573242,0
1580,0.0493164,-0.780762,0.592773,0
1600,0.0488281,-0.744141,0.586426,0
1620,0.0546875,-0.729492,0.569824,0
1640,0.0585938,-0.748535,0.584961,0
1660,0.0610352,-0.754395,0.598145,0
1680,0.0517578,-0.752441,0.60791,0
1700,0.0585938,-0.74707,0.594238,0
1720,0.0703125,-0.737305,0.584961,0
1740,0.0688477,-0.732422,0.59082,0
1760,0.0664062,-0.738281,0.586426,0
1780,0.0712891,-0.73877,0.601562,0
1800,0.0722656,-0.749023,0.602539,0
1820,0.0595703,-0.75,0.585938,0
1840,0.0600586,-0.75293,0.579102,0
1860,0.0527344,-0.74707,0.562988,0
1880,0.046875,-0.743652,0.5625,0
1900,0.0498047,-0.745117,0.566895,0
1920,0.0424805,-0.748047,0.564941,0
1940,0.0537109,-0.753418,0.573242,0
1960,0.0761719,-0.746094,0.584961,0
1980,0.0722656,-0.745605,0.589844,0
2000,0.0703125,-0.749512,0.584473,0
2020,0.0571289,-0.754395,0.572266,0
2040,0.0595703,-0.754883,0.574707,0
2060,0.0585938,-0.752441,0.57666,0
2080,0.0571289,-0.762207,0.571289,0
2100,0.0507812,-0.777344,0.564453,0
2120,0.0546875,-0.768555,0.560547,0
2140,0.0454102,-0.766113,0.561035,0
2160,0.0439453,-0.755859,0.559082,0
2180,0.0478516,-0.775879,0.555664,0
2200,0.0400391,-0.768066,0.555176,0
2220,0.0493164,-0.767578,0.556641,0
2240,0.050293,-0.770508,0.574219,0
2260,0.0366211,-0.773438,0.57666,0
2280,0.027832,-0.787598,0.566406,0
2300,0.0185547,-0.770996,0.550293,0
2320,0.0136719,-0.750977,0.574707,0
2340,0.0249023,-0.762207,0.576172,0
2360,0.0317383,-0.77832,0.563965,0
2380,0.0151367,-0.775391,0.557617,0
2400,0.03125,-0.754883,0.54248,0
2420,0.0229492,-0.768066,0.570801,0
2440,0.043457,-0.777344,0.57959,0
2460,0.0205078,-0.756348,0.54834,0
2480,0.03125,-0.753906,0.546875,0
2500,0.0419922,-0.749512,0.5625,0
2520,0.0161133,-0.760742,0.568359,0
2540,0.0078125,-0.753418,0.58252,0
2560,0,-0.779785,0.603027,0
2580,-0.0131836,-0.802734,0.612793,0
2600,-0.00927734,-0.773926,0.571289,0
